@T,climate
name,rainfall
desc,measured rainfall

missing_val,-9999
date_start,01.01.2008
date_end,31.12.2014
date_format,dd.MM.yyyy

tres,d
unit,mm

@H,date,Greeley LIRF
ID,-,1
elevation,-,1427
x,-,530809
,23.12.2008,0.00
,24.12.2008,2.29
,25.12.2008,0.00
,26.12.2008,0.00
,27.12.2008,0.00
,28.12.2008,0.00
,29.12.2008,0.00
,30.12.2008,0.00
,31.12.2008,0.13
,01.01.2009,0.00
,02.01.2009,0.00
,03.01.2009,0.00
,04.01.2009,0.00
,05.01.2009,0.00
,06.01.2009,0.00
,07.01.2009,0.00
,08.01.2009,0.00
,09.01.2009,0.00
,10.01.2009,0.00
,11.01.2009,0.00
,12.01.2009,0.00
,13.01.2009,0.00
,14.01.2009,0.00
,15.01.2009,0.00
,16.01.2009,0.00
,17.01.2009,0.00
,18.01.2009,0.00
,19.01.2009,0.00
,20.01.2009,0.00
,21.01.2009,0.00
,22.01.2009,0.00
,23.01.2009,0.00
,24.01.2009,0.00
,25.01.2009,0.00
,26.01.2009,0.76
,27.01.2009,0.00
,28.01.2009,0.00
,29.01.2009,0.25
,30.01.2009,0.00
,31.01.2009,0.00
,01.02.2009,0.00
,02.02.2009,0.00
,03.02.2009,0.00
,04.02.2009,0.00
,05.02.2009,0.00
,06.02.2009,0.00
,07.02.2009,0.00
,08.02.2009,0.00
,09.02.2009,0.00
,10.02.2009,0.00
,11.02.2009,0.00
,12.02.2009,0.00
,13.02.2009,0.00
,14.02.2009,0.00
,15.02.2009,1.02
,16.02.2009,0.00
,17.02.2009,0.00
,18.02.2009,0.00
,19.02.2009,0.00
,20.02.2009,0.00
,21.02.2009,3.30
,22.02.2009,0.25
,23.02.2009,0.00
,24.02.2009,0.00
,25.02.2009,0.25
,26.02.2009,1.27
,27.02.2009,0.00
,28.02.2009,0.00
,01.03.2009,0.00
,02.03.2009,0.00
,03.03.2009,0.00
,04.03.2009,0.00
,05.03.2009,0.00
,06.03.2009,0.00
,07.03.2009,0.00
,08.03.2009,0.00
,09.03.2009,1.52
,10.03.2009,0.00
,11.03.2009,0.00
,12.03.2009,5.08
,13.03.2009,0.00
,14.03.2009,0.00
,15.03.2009,0.00
,16.03.2009,0.00
,17.03.2009,0.00
,18.03.2009,0.00
,19.03.2009,0.00
,20.03.2009,0.00
,21.03.2009,0.51
,22.03.2009,0.00
,23.03.2009,0.00
,24.03.2009,1.02
,25.03.2009,0.00
,26.03.2009,0.00
,27.03.2009,0.00
,28.03.2009,0.00
,29.03.2009,0.00
,30.03.2009,0.25
,31.03.2009,0.00
,01.04.2009,0.00
,02.04.2009,0.25
,03.04.2009,0.00
,04.04.2009,0.00
,05.04.2009,0.00
,06.04.2009,0.00
,07.04.2009,0.00
,08.04.2009,0.25
,09.04.2009,0.00
,10.04.2009,0.51
,11.04.2009,0.00
,12.04.2009,0.00
,13.04.2009,7.62
,14.04.2009,0.25
,15.04.2009,0.25
