@T,reaches,,,,,
name,reach.csv,,,,,
descr,reach input parameters,,,,,
,,,,,,
@H,ID,length,slope,rough,width,deepsink
,-94,331,2.006,30,0.7,0
,-93,3450,3.145,30,0.9,0
,-92,1648,0.474,30,7,0
,-91,1827,0.6,30,2,0
,-90,2833,0.871,30,0.9,0
,-89,2403,1.134,30,0.9,0
,-88,70,0.567,30,0.7,0
,-87,3976,1.9,30,0.9,0
,-86,921,0.021,30,1.3,0
,-85,5755,0.32,30,7.9,0
,-84,381,0.471,30,7.1,0
,-83,2544,0.455,30,8.8,0
,-82,141,0.001,30,11.1,0
,-81,626,0.725,30,2.3,0
,-80,1215,0.366,30,0.7,0
,-79,1735,2.102,30,0.8,0
,-78,1527,0.583,30,8,0
,-77,797,0.597,30,0.7,0
,-76,4467,1.06,30,1.9,0
,-75,588,4.242,30,0.7,0
,-74,420,0.421,30,0.7,0
,-73,2280,1.839,30,1.4,0
,-72,212,0.542,30,0.7,0
,-71,1141,0.701,30,0.6,0
,-70,25,0.367,30,8.5,0
,-69,1032,0.198,30,9.4,0
,-68,593,2.541,30,0.7,0
,-67,1992,0.444,30,9.4,0
,-66,957,0.371,30,0.7,0
,-65,1380,0.341,30,8.5,0
,-64,1151,0.001,30,11.3,0
,-63,2519,0.96,30,0.9,0
,-62,2120,0.517,30,1.3,0
,-61,551,0.177,30,9.5,0
,-60,952,0.588,30,8,0
,-59,1648,2.731,30,0.9,0
,-58,656,0.416,30,1.6,0
,-57,947,0.521,30,8.2,0
,-56,2942,0.416,30,3.8,0
,-55,191,0.495,30,11.3,0
,-54,1032,1.399,30,0.7,0
,-53,1343,0.416,30,9.5,0
,-52,3007,0.763,30,1.9,0
,-51,1261,0.48,30,8.5,0
,-50,1468,0.485,30,8.3,0
,-49,2600,0.961,30,1,0
,-48,1354,1.019,30,0.8,0
,-47,1252,0.488,30,10.2,0
,-46,360,0.365,30,0.7,0
,-45,2206,1.984,30,1.6,0
,-44,1966,1.77,30,0.8,0
,-43,3320,2.338,30,1,0
,-42,1030,2.254,30,1.9,0
,-41,2283,0.391,30,11.4,0
,-40,1466,2.778,30,0.7,0
,-39,1573,0.322,30,10.2,0
,-38,582,5.436,30,0.7,0
,-37,1307,0.176,30,15.1,0
,-36,2747,0.446,30,4.1,0
,-35,95,0.001,30,0.6,0
,-34,110,0.001,30,4,0
,-33,2551,0.259,30,10.4,0
,-32,237,0.001,30,2.1,0
,-31,351,0.148,30,15.2,0
,-30,1180,0.339,30,10.3,0
,-29,1111,1.445,30,1.1,0
,-28,281,1.404,30,0.6,0
,-27,166,0.077,30,15.3,0
,-26,295,1.096,30,0.8,0
,-25,1388,0.001,30,3.4,0
,-24,622,1.032,30,0.6,0
,-23,482,0.056,30,3.2,0
,-22,4032,2.648,30,1.2,0
,-21,145,0.106,30,2.9,0
,-20,1017,0.193,30,0.8,0
,-19,497,0.09,30,2.8,0
,-18,70,0.085,30,0.6,0
,-17,4646,0.331,30,1.8,0
,-16,382,0.24,30,0.7,0
,-15,1583,0.078,30,2.7,0
,-14,1501,2.413,30,1,0
,-13,353,0.001,30,2.4,0
,-12,247,0.001,30,2.2,0
,-11,2686,0.814,30,0.9,0
,-10,1040,0.013,30,0.9,0
,-9,185,0.201,30,0.6,0
,-8,620,0.011,30,1.8,0
,-7,3720,0.105,30,1.3,0
,-6,2702,0.353,30,0.9,0
,-5,295,0.415,30,0.6,0
,-4,1145,0.117,30,0.8,0
,-3,940,0.442,30,0.7,0
,-2,3586,0.542,30,1,0
,-1,3958,0.405,30,1.1,0
