@T,climate,,,,,,,,,,,,,
name,wind,,,,,,,,,,,,,
desc,wind speed,,,,,,,,,,,,,
,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,
date_start,01.01.1960,,,,,,,,,,,,,
date_end,04.08.2013,,,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tres,d,,,,,,,,,,,,,
unit,m/s,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,date,wind[0],wind[1],wind[2],wind[3],wind[4],wind[5],wind[6],wind[7],wind[8],wind[9],wind[10],wind[11],wind[12]
name,,Artern,Erfurt,Schmuecke,Leinefelde,Eichelborn-ILMS,Geraberg-ILMS,Gossel-ILMS,Kirchheim-ILMS,Oberhof-ILMS,Ohrdruf-ILMS,Riechheim-ILMS,Wandersleben-ILMS,Wipfra-ILMS
ID,,198,1270,4501,2925,1,2,3,4,5,6,7,8,9
elevation,,164,316,937,356,297,481,495,265,753,334,385,268,390
,30.07.1986,1.4,1.7,2.3,1.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.07.1986,1.7,2.3,3.8,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.08.1986,1.8,1.7,2.3,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.08.1986,1.8,2.3,3.2,1.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.08.1986,1.9,1.9,2.4,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.08.1986,1.8,2.2,3,1.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.08.1986,2.8,2.5,3.7,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.08.1986,1.3,1.4,2.4,1.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.08.1986,1.9,2.6,3.4,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.08.1986,2.3,2.1,2.7,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.08.1986,1.1,1.6,1.9,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.08.1986,2.2,1.9,1.7,1.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.08.1986,1.7,2.2,2.3,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.08.1986,1.7,1.9,2.1,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.08.1986,1,1.6,1.7,1.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.08.1986,1.2,1.5,1.9,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.08.1986,1.7,2.7,3.4,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.08.1986,2.3,2.1,3.3,2.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.08.1986,1.7,1.7,3.3,1.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.08.1986,0.8,1.4,2.5,0.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.08.1986,1.9,1,2.8,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.08.1986,3.1,3,3.8,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.08.1986,2.2,1.4,2.3,1.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.08.1986,1.2,1.9,3.5,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.08.1986,2,2.5,3.8,2.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.08.1986,1.2,1.8,2.5,1.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.08.1986,1.7,2,2.1,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.08.1986,1.9,3.5,4.6,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.08.1986,4,4.2,5.6,3.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.08.1986,2.2,2.3,3.6,2.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.08.1986,2.7,2.7,2.7,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.08.1986,3.8,3.8,3.9,3.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.08.1986,3.2,2.8,3.5,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.09.1986,2.8,2.5,3.5,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.09.1986,4,3.4,4.2,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.09.1986,3.5,3.4,4.8,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.09.1986,3.6,3.2,3.8,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.09.1986,2,2.2,3.4,2.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.09.1986,2.2,2.2,3.6,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.09.1986,3.2,2.5,3.6,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.09.1986,2.7,2.6,3.3,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.09.1986,1,1,2.7,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.09.1986,0.8,1.3,1.9,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.09.1986,1.1,1.2,1.6,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.09.1986,1.2,1,2.1,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.09.1986,2,1.8,2.8,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.09.1986,2.9,3.5,4.8,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.09.1986,3,2.8,4.5,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.09.1986,2.3,2.4,3.9,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.09.1986,3.3,2.7,3.9,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.09.1986,2.2,2,2.8,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.09.1986,1,1.4,2,0.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.09.1986,1.7,1.9,2.2,1.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.09.1986,2.4,2.4,3.8,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.09.1986,3.1,2.2,3.8,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.09.1986,2.5,2.2,2.4,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.09.1986,1.5,1.6,2.7,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.09.1986,1.4,1.7,4.1,1.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.09.1986,1.2,1,3,1.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.09.1986,0.8,0.8,1.9,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.09.1986,0.6,1.2,1.9,0.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.09.1986,2.3,2.3,2.8,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.09.1986,1.4,1.4,2.5,1.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.10.1986,0.8,1.4,2.9,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.10.1986,1.8,1.9,3.8,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.10.1986,1.6,1.9,2.2,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.10.1986,1.1,1.4,1.9,1.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.10.1986,1.2,1.5,2.1,1.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.10.1986,1.7,2.1,2.8,2.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.10.1986,2.8,2.2,3.2,2.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.10.1986,2.3,2.2,2.5,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.10.1986,1.4,1.7,2.3,1.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.10.1986,1.2,1.9,3.2,1.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.10.1986,1.4,1.8,2.3,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.10.1986,2.3,1.9,3.3,2.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.10.1986,1.2,1.7,2.7,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.10.1986,0.7,1.7,2.2,1.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.10.1986,1,1.2,1.7,0.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.10.1986,1.1,1.4,2.7,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.10.1986,2.2,1.5,3.2,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.10.1986,1.9,1.8,3.3,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.10.1986,3,3.7,4.9,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.10.1986,4.2,4.8,5.8,4.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.10.1986,5.2,4.7,5.5,4.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.10.1986,2.5,3,5.2,2.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.10.1986,3.6,3.4,4.2,3.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.10.1986,3,3.1,3.9,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.10.1986,2.5,3.7,5.1,3.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.10.1986,3.3,3.1,3.7,3.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.10.1986,2.3,2.2,3.3,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.10.1986,1.9,3.2,5.2,3.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.10.1986,2.2,2.8,3.7,2.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.10.1986,0.6,1.6,2.9,1.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.10.1986,3.1,3.2,4.3,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.11.1986,3,3.3,5,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.11.1986,3.6,3.2,3.8,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.11.1986,1.4,1.9,1.9,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.11.1986,2.7,2.3,2.7,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.11.1986,3.3,3.1,4.4,3.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.11.1986,3.9,3.6,3.9,3.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.11.1986,2.6,2.3,3.6,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.11.1986,3.2,2.6,4.2,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.11.1986,2.2,2.4,3.5,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.11.1986,2.3,3.4,5.8,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.11.1986,2,3.2,4.8,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.11.1986,2,2.2,3.2,1.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.11.1986,1,1.9,2.8,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.11.1986,0.8,1.6,2.7,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.11.1986,0.8,1.5,3.4,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.11.1986,0,1.9,3.5,1.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.11.1986,0.7,1.9,3.3,1.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.11.1986,3.3,3.8,5.4,3.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.11.1986,3.9,4.5,5.8,4.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.11.1986,3.4,3.7,4.6,3.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.11.1986,2.2,2.2,3.1,1.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.11.1986,2.2,3.2,4.9,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.11.1986,2.2,3.4,4.9,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.11.1986,3.3,4,5,3.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.11.1986,3.9,3.2,5.6,3.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.11.1986,2.5,2.9,4.8,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.11.1986,2.8,2.5,3.3,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.11.1986,1,1.7,1.5,1.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.11.1986,0.8,1.7,1.4,0.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.11.1986,1.4,2.2,2.2,0.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.12.1986,2.9,2.3,4,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.12.1986,2.9,2.7,3.8,2.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.12.1986,3.9,3.1,4.8,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.12.1986,3.5,4.2,5.3,3.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.12.1986,2.7,3.5,4.3,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.12.1986,2.2,3.3,4,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.12.1986,1.4,1.6,3,1.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.12.1986,0.7,2.3,3.2,1.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.12.1986,1.7,1.9,3.5,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.12.1986,1.2,1.3,2.5,1.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.12.1986,1.2,1.4,1.6,1.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.12.1986,1.8,0.8,2.9,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.12.1986,2,2.6,4.2,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.12.1986,2.2,2.7,2.6,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.12.1986,1.8,2.5,4,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.12.1986,4.3,4.4,4.7,4.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.12.1986,3.5,3.3,3.9,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.12.1986,3.5,3.9,5.4,3.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.12.1986,6.1,5.2,6,5.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.12.1986,3.8,3.6,4.2,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.12.1986,2.3,2.7,3.4,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.12.1986,2.5,2.8,2.3,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.12.1986,3.2,2.6,3.3,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.12.1986,2.5,2.5,1.8,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.12.1986,2.9,3.1,3.6,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.12.1986,2.6,3.1,3.4,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.12.1986,3.6,3.2,4,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.12.1986,3.3,3.6,4.7,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.12.1986,5.1,4.8,5.8,4.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.12.1986,2.4,3.6,5.2,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.12.1986,4.4,4.5,5.2,4.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.01.1987,3.5,3.1,4.3,3.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.01.1987,2.8,3.7,4.3,3.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.01.1987,1.7,2.3,2.9,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.01.1987,1.9,2.8,3.2,2.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.01.1987,4.2,4.4,4.3,4.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.01.1987,3.4,3.2,3.8,2.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.01.1987,3,3,3.1,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.01.1987,2.7,2.5,3.2,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.01.1987,3.8,3.7,3.8,3.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.01.1987,3.8,3,3.7,3.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.01.1987,2.8,2.2,5.2,2.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.01.1987,3.6,2.8,4.6,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.01.1987,2.2,2.2,1.5,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.01.1987,3.8,2.1,4.8,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.01.1987,5.9,3.8,6.2,5.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.01.1987,3.8,2.5,4.3,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.01.1987,2.3,1.2,3.5,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.01.1987,2.5,1.3,3.6,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.01.1987,1.9,1.1,3.1,1.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.01.1987,1,0.8,2,0.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.01.1987,1.5,0.8,2.1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.01.1987,1.9,1.2,2.2,1.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.01.1987,3.1,3,2.8,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.01.1987,2.4,1.9,2.6,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.01.1987,3.9,3.6,4.2,3.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.01.1987,3.3,3.4,4,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.01.1987,2.6,1.9,2.8,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.01.1987,3.2,3.1,4,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.01.1987,2.9,3,3.3,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.01.1987,1,1.2,2.5,0.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.01.1987,1,1.4,1.7,0.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.02.1987,1.1,1.7,1.2,0.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.02.1987,0.6,1.4,2.5,0.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.02.1987,0.7,1.6,2.7,1.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.02.1987,1.4,1,1.7,0.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.02.1987,1.7,1.4,2.5,1.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.02.1987,4.2,4.2,4.6,3.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.02.1987,3.9,3.6,4.3,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.02.1987,2.9,3,4.8,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.02.1987,2.4,2,3.7,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.02.1987,2.5,3.2,4.1,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.02.1987,1.5,1.8,2.6,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.02.1987,1.1,0.8,1.9,1.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.02.1987,1.7,1.9,2.2,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.02.1987,1.3,1.3,1.9,1.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.02.1987,2.3,2.2,2.9,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.02.1987,2.2,1.7,1.5,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.02.1987,0.8,1.2,1.3,1.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.02.1987,1.9,2.1,3.1,1.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.02.1987,2.5,2.2,3.4,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.02.1987,5.1,4.1,4.9,4.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.02.1987,3.6,1.9,4.6,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.02.1987,2.2,1.9,2.3,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.02.1987,2.8,2.9,2.7,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.02.1987,0,1.4,1.6,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.02.1987,1.4,1.4,2.8,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.02.1987,1.4,1.7,3.3,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.02.1987,1.7,3.4,4,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.02.1987,2,2.3,3.4,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.03.1987,3.2,2.6,2.4,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.03.1987,4.7,3.1,2.3,4.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.03.1987,3,2.3,4.3,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.03.1987,0.7,1.3,2.1,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.03.1987,0.6,1.4,2,0.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.03.1987,1.3,1.3,2.3,1.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.03.1987,1,1.3,3.8,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.03.1987,1.7,1.7,3.5,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.03.1987,3.3,2.2,5,3.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.03.1987,2.8,1.6,4,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.03.1987,2.9,1.4,4,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.03.1987,2.3,1.3,4,1.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.03.1987,1.9,1.6,3.5,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
