@T,climate,,,,,,,,,,,,,
name,wind,,,,,,,,,,,,,
desc,wind speed,,,,,,,,,,,,,
,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,
date_start,01.01.1960,,,,,,,,,,,,,
date_end,04.08.2013,,,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tres,d,,,,,,,,,,,,,
unit,m/s,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,date,wind[0],wind[1],wind[2],wind[3],wind[4],wind[5],wind[6],wind[7],wind[8],wind[9],wind[10],wind[11],wind[12]
name,,Artern,Erfurt,Schmuecke,Leinefelde,Eichelborn-ILMS,Geraberg-ILMS,Gossel-ILMS,Kirchheim-ILMS,Oberhof-ILMS,Ohrdruf-ILMS,Riechheim-ILMS,Wandersleben-ILMS,Wipfra-ILMS
ID,,198,1270,4501,2925,1,2,3,4,5,6,7,8,9
elevation,,164,316,937,356,297,481,495,265,753,334,385,268,390
,05.03.1960,3.3,4,4.8972,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.03.1960,3.3,4.3,5.26449,4.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.03.1960,4.3,5,6.1215,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.03.1960,3.7,3.7,4.52991,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.03.1960,3.7,3.3,4.04019,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.03.1960,3,2.3,2.81589,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.03.1960,2,2.3,2.81589,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.03.1960,1.7,1.7,2.08131,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.03.1960,1,1.7,2.08131,0.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.03.1960,1.7,2.3,2.81589,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.03.1960,2.3,4,4.8972,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.03.1960,3.3,4.7,5.75421,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.03.1960,3.3,3.3,4.04019,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.03.1960,2.3,2.7,3.30561,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.03.1960,2.3,3.3,4.04019,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.03.1960,2.3,3,3.6729,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.03.1960,2.3,3,3.6729,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.03.1960,2,2,2.4486,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.03.1960,1,3.3,4.04019,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.03.1960,3.3,3.3,4.04019,3.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.03.1960,3.3,2.7,3.30561,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.03.1960,1.7,1.7,2.08131,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.03.1960,1.3,2.7,3.30561,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.03.1960,3,3.3,4.04019,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.03.1960,4,3.3,4.04019,3.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.03.1960,2.3,2.7,3.30561,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
