@T,climate
name,rainfall
desc,measured rainfall

missing_val,-9999
date_start,01.01.1980
date_end,13.08.2013
date_format,dd.MM.yyyy

tres,d
unit,mm

@H,date,Alperstedt,Artern,Arnstadt,Boesleben,Crawinkel,Dachwig,Dienstedt,Dosdorf,Eichelborn-ILMS,Elgersburg,Erfurt (Flugwewa),Erfurt-Egstedt,Erfurt-Frienstedt,Erfurt-Weimar,Finsterbergen,Floh,Frankenhain,Gehlberg,Geraberg-ILMS,Gossel-ILMS,Graefenroda,Graefinau-Angstedt,Herrenhof,Ilmenau,Kirchheim-ILMS,Kleiner Inselsberg,Luisenthal,Luisenthal Talsperre,Martinroda,Moenchenholzhausen,Molschleben,Muehlberg,Oberhof,Oberhof (Forsth. Sattelbach,Oberhof-ILMS,Oberschoenau,Ohrdruf-ILMS,Riechheim-ILMS,Schmuecke (WST),Sondershausen,Stadtilm,Stuetzerbach,Tambach-Dietharz,Tambach-Dietharz (Forsthaus,Tambach-Dietharz (Talsperre,Tuettleben,Waltershausen,Wandersleben-ILMS,Wipfra-ILMS
,02.02.1980,0.5,1.7,4.6,2.2,14.7,3.2,0.1,6.6,-9999,7,1.6,0.4,1,-9999,11.8,6.3,24.5,7.7,-9999,-9999,4.2,7.5,9.7,18.2,-9999,16.2,15.4,16.5,7.03,1.1,4,6,7.56,7.4,-9999,5.1,-9999,-9999,25.8,7.6,0,12.6,17.6,18.7,15.6,2.4,13.2,-9999,-9999
,03.02.1980,4,10.4,3.1,3.5,14.9,6.7,3.4,6.5,-9999,12.9,2.6,1.9,3,-9999,14.6,8.6,22,23,-9999,-9999,15,9,9,20,-9999,16.4,23.4,17.3,12.95,2,2,5.4,22.59,23.7,-9999,1.2,-9999,-9999,22.8,18.3,0.6,11.4,17.6,17.8,13,5.1,12,-9999,-9999
,04.02.1980,2,3.8,1.2,0.5,2.4,2.2,1.3,0.2,-9999,4.3,1.7,1.6,1.5,-9999,7.4,3.6,4.1,23,-9999,-9999,2.5,1.5,1.8,2.8,-9999,6.2,2.7,4,4.32,0.9,1.9,1,22.59,5.5,-9999,2.5,-9999,-9999,5.5,6.2,1,4.1,4.6,6.5,5,2.3,2.4,-9999,-9999
,05.02.1980,4.3,5.6,4.2,6,25,5.1,3.8,6.1,-9999,28.8,4.5,3.3,4,-9999,39.5,8.6,45,4.9,-9999,-9999,27,8,14.8,30.9,-9999,26.6,36.7,37.5,28.91,4.6,5.4,4.5,4.81,43.3,-9999,17,-9999,-9999,24.4,7.4,2,14.2,44,50.5,39,6.1,8.5,-9999,-9999
,06.02.1980,0.9,0.8,2.1,3,3.1,1.5,1.4,2.7,-9999,8.9,1.5,1.1,1.5,-9999,8.4,11.5,6.1,56,-9999,-9999,3.3,1.6,1,3.8,-9999,14.5,4.8,2.8,8.93,0.5,1.8,2,55.01,7.8,-9999,16.8,-9999,-9999,14.1,2.6,0,7.7,8.3,10.7,10,2.1,1.4,-9999,-9999
,07.02.1980,0.2,0.6,0.8,2,0,0.2,0.1,1.9,-9999,2.3,0.1,0,0.2,-9999,5.2,2.9,2,15.9,-9999,-9999,0.4,0.8,0.1,1.8,-9999,4.2,1.4,6.4,2.31,0.2,0.2,0.7,15.62,5.3,-9999,6.8,-9999,-9999,3.9,0.6,2.8,2.5,2.3,3.7,2,1.8,0,-9999,-9999
,08.02.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0.3,0.2,0.5,0,-9999,-9999,0.1,0.1,0,0,-9999,0.5,0.1,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,1.1,0,0.2,0,0,0.4,0,-9999,-9999
,09.02.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0.1,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,1.5,0,0,0,0,0,0,-9999,-9999
,10.02.1980,0.3,0,0,1,1.2,0.1,0,0.9,-9999,3.3,0.5,0.6,0.2,-9999,1.7,2,2.3,0,-9999,-9999,2,2.1,0,2.3,-9999,0.4,3,3,3.31,0,0,0,0,5.4,-9999,4.6,-9999,-9999,3.9,0,2,2.4,1.8,0.8,2,0,0,-9999,-9999
,11.02.1980,0.5,0.3,0.8,1,0.9,2.6,2.1,1.1,-9999,1,1.8,1.2,1.4,-9999,2.1,5.5,1.2,4.4,-9999,-9999,0.9,0.4,1,0,-9999,5.1,1.7,1.5,1,1.8,1.8,1,4.32,2.9,-9999,6.4,-9999,-9999,4.7,0.8,0,1.6,2.8,4,2,1.4,1.3,-9999,-9999
