@T,climate  
name,sunh  

missing_val,-9999 
date_start,01.08.2002  
date_end,01.10.2003  
date_format,dd.MM.yyyy  

tres,d  
unit,MJ_m2  

@H,date,sunh[0]
name,-,Drake
ID,-,1
elevation,-,1572
x,-,512701
y,-,4495474
,20.06.2003,20.0668104
,21.06.2003,30.4752672
,22.06.2003,30.6881064
,23.06.2003,16.0931232
,24.06.2003,6.498828
,25.06.2003,21.4244352
,26.06.2003,31.223304
,27.06.2003,30.035124
,28.06.2003,29.415204
,29.06.2003,15.0661224
,30.06.2003,29.260224
,01.07.2003,26.5677048
,02.07.2003,30.035124
,03.07.2003,27.9831888
,04.07.2003,31.388616
,05.07.2003,30.1942368
,06.07.2003,22.9349736
,07.07.2003,20.0089512
,08.07.2003,30.7108368
,09.07.2003,31.5208656
,10.07.2003,31.6076544
,11.07.2003,26.9541216
,12.07.2003,27.8013456
,13.07.2003,25.0819632
,14.07.2003,30.7025712
,15.07.2003,17.40942
,16.07.2003,22.151808
,17.07.2003,24.3380592
,18.07.2003,19.8436392
,19.07.2003,23.5693584
,20.07.2003,16.0703928
,21.07.2003,23.8090608
,22.07.2003,28.2042936
,23.07.2003,27.0429768
,24.07.2003,22.9019112
,25.07.2003,19.1679264
,26.07.2003,24.2533368
,27.07.2003,25.3567944
,28.07.2003,20.6495352
,29.07.2003,18.9922824
,30.07.2003,24.8401944
,31.07.2003,19.4076288
,01.08.2003,22.4659008
,02.08.2003,28.3138128
,03.08.2003,18.0892656
,04.08.2003,26.666892
,05.08.2003,28.9378656
,06.08.2003,26.9479224
,07.08.2003,14.3222184
,08.08.2003,19.9593576
,09.08.2003,22.6560096
,10.08.2003,27.979056
,11.08.2003,25.9581168
,12.08.2003,27.3859992
,13.08.2003,27.7145568
,14.08.2003,28.443996
,15.08.2003,27.5575104
,16.08.2003,26.6854896
,17.08.2003,18.2545776
,18.08.2003,16.0745256
,19.08.2003,24.8939208
,20.08.2003,25.7969376
,21.08.2003,21.2611896
,22.08.2003,23.1250824
,23.08.2003,18.1698552
,24.08.2003,16.469208
,25.08.2003,16.7502384
,26.08.2003,26.119296
,27.08.2003,21.5091576
,28.08.2003,22.864716
,29.08.2003,13.4295336
,30.08.2003,2.8413
,31.08.2003,14.3470152
,01.09.2003,26.4003264
,02.09.2003,21.4037712
,03.09.2003,18.4157568
,04.09.2003,24.5715624
,05.09.2003,23.71194
,06.09.2003,13.679568
,07.09.2003,9.588096
,08.09.2003,20.8375776
,09.09.2003,15.2996256
,10.09.2003,16.572528
,11.09.2003,19.9758888
,12.09.2003,23.5114992
,13.09.2003,23.9454432
,14.09.2003,24.2884656
,15.09.2003,24.1396848
,16.09.2003,18.122328
,17.09.2003,17.0746632
,18.09.2003,23.6210184
,19.09.2003,22.1352768
,20.09.2003,14.9731344
,21.09.2003,22.8667824
,22.09.2003,22.6766736
,23.09.2003,22.8626496
,24.09.2003,22.1786712
,25.09.2003,21.8997072
,26.09.2003,21.5463528
,27.09.2003,21.294252
,28.09.2003,21.2177952
,29.09.2003,20.643336
,30.09.2003,9.8195328
,01.10.2003,19.1823912
