@T,B4D1D2D3D4,,,,
descr,average observed soil water content at probe B4 D1 D2 D3 D4 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1577,,,
x,,513649,,,
y,,4495037.6,,,
,31.03.2003,0.147838765,0.200801838,0.178824222,0.188454282
,01.04.2003,0.152366046,0.202737399,0.17893254,0.188375693
,02.04.2003,0.155617286,0.205124508,0.179732397,0.188330208
,03.04.2003,0.157445457,0.207220575,0.180816276,0.188382074
,04.04.2003,0.15701108,0.208195769,0.181831132,0.188552146
,05.04.2003,0.155569557,0.208062319,0.18243725,0.188805606
,06.04.2003,0.153568451,0.207137443,0.18256846,0.189087346
,07.04.2003,0.150551859,0.205034006,0.182218418,0.189341308
,08.04.2003,0.151472679,0.203290429,0.181407716,0.189492939
,09.04.2003,0.155735304,0.20356905,0.180846869,0.189538341
,10.04.2003,0.161087998,0.20555568,0.181027527,0.189505042
,11.04.2003,0.165472455,0.208336078,0.181939889,0.189496257
,12.04.2003,0.169227141,0.21099767,0.183224806,0.189592012
,13.04.2003,0.172135636,0.213407039,0.184655322,0.18981543
,14.04.2003,0.17485164,0.215544739,0.186079129,0.190161246
,15.04.2003,0.17654355,0.217350115,0.187432868,0.190601889
,16.04.2003,0.174782468,0.2177511,0.188561965,0.191102532
,17.04.2003,0.174697543,0.216912953,0.189008642,0.191631119
,18.04.2003,0.177011285,0.217120624,0.189170198,0.192111793
,19.04.2003,0.176968346,0.21756858,0.189531167,0.192521411
,20.04.2003,0.175927535,0.217003919,0.189709196,0.192891085
,21.04.2003,0.177262293,0.216740618,0.189616905,0.193207556
,22.04.2003,0.180271649,0.217669195,0.189703757,0.208765667
,23.04.2003,0.212880261,0.219075234,0.190194459,0.193705223
,24.04.2003,0.293545043,0.245246582,0.190271027,0.1940415
,25.04.2003,0.296308079,0.284578964,0.189217971,0.194380462
,26.04.2003,0.29303268,0.297763059,0.188346045,0.194563895
,27.04.2003,0.290861859,0.301156378,0.188127822,0.194602889
,28.04.2003,0.289265185,0.304187466,0.188630438,0.194640692
,29.04.2003,0.287971424,0.307710531,0.189535803,0.194723408
,30.04.2003,0.285190347,0.311173794,0.190723848,0.194913828
,01.05.2003,0.281722459,0.313043176,0.19203265,0.195183106
,02.05.2003,0.280270439,0.314444411,0.193322634,0.19547668
,03.05.2003,0.281803931,0.317786281,0.19497543,0.195746603
,04.05.2003,0.282154055,0.322902202,0.197444073,0.195981229
,05.05.2003,0.279704116,0.327036309,0.200210154,0.196279141
,06.05.2003,0.277774034,0.329753762,0.202562609,0.196645503
,07.05.2003,0.276681751,0.332303782,0.204564507,0.197033573
,08.05.2003,0.275722349,0.334978452,0.206393618,0.197403425
,09.05.2003,0.272267545,0.336535364,0.207884651,0.197769571
,10.05.2003,0.319380864,0.369221573,0.239123697,0.198435396
,11.05.2003,0.324935956,0.404932564,0.295764466,0.198409132
,12.05.2003,0.317956144,0.400943497,0.293939741,0.198212848
,13.05.2003,0.316314781,0.398374979,0.302272353,0.19783212
,14.05.2003,0.315990178,0.396748143,0.312595616,0.19755097
,15.05.2003,0.317467007,0.39664775,0.314919116,0.197455454
,16.05.2003,0.317585785,0.396162951,0.315590643,0.197589339
,17.05.2003,0.319625799,0.396700826,0.316003392,0.198023947
,18.05.2003,0.319833152,0.396771353,0.316520722,0.198904926
,19.05.2003,0.315269702,0.39581912,0.316820654,0.200453297
,20.05.2003,0.309637265,0.392556306,0.316286447,0.202570695
,21.05.2003,0.308740019,0.38959246,0.314890347,0.204826937
,22.05.2003,0.311201811,0.388818264,0.313806473,0.206971994
,23.05.2003,0.312892824,0.389107002,0.313591934,0.209017163
,24.05.2003,0.313579472,0.389707289,0.313860271,0.211067559
,25.05.2003,0.311526617,0.389394725,0.314249528,0.213083025
,26.05.2003,0.309958708,0.388449445,0.314441258,0.214962398
,27.05.2003,0.307498918,0.386964754,0.314464882,0.216657922
,28.05.2003,0.306085078,0.385578438,0.314478465,0.218131971
,29.05.2003,0.30343549,0.384797823,0.314855121,0.219382793
,30.05.2003,0.302283235,0.384988617,0.315503916,0.220558615
,31.05.2003,0.299422213,0.38481629,0.316006566,0.221751232
,01.06.2003,0.296713858,0.383595624,0.316035659,0.222888036
,02.06.2003,0.294344591,0.38219852,0.315678314,0.223914024
,03.06.2003,0.292760382,0.381095823,0.315153982,0.224794949
,04.06.2003,0.290120815,0.37975634,0.314614268,0.225510289
,05.06.2003,0.287186947,0.377407491,0.313775428,0.226102039
,06.06.2003,0.28609253,0.375266899,0.312493658,0.226545378
,07.06.2003,0.285518499,0.3737774,0.311243186,0.226818497
,08.06.2003,0.286857687,0.37287228,0.310151144,0.226930506
,09.06.2003,0.290374184,0.37378323,0.30954106,0.226928653
,10.06.2003,0.29146817,0.375215581,0.309664817,0.226873902
,11.06.2003,0.293543887,0.376891942,0.310067832,0.226885933
,12.06.2003,0.294257191,0.378747544,0.310795153,0.226974838
,13.06.2003,0.294623332,0.380249606,0.311597817,0.227166679
,14.06.2003,0.294727821,0.381367478,0.312347889,0.227448727
,15.06.2003,0.295433087,0.382579133,0.313053886,0.227768372
,16.06.2003,0.296389961,0.384103995,0.313866611,0.228110704
,17.06.2003,0.296257933,0.38543655,0.314820459,0.228482335
,18.06.2003,0.294934294,0.386020125,0.315632819,0.228910593
,19.06.2003,0.29380677,0.385828596,0.316136339,0.229373824
,20.06.2003,0.2952746,0.385934175,0.316488726,0.229740014
,21.06.2003,0.296408896,0.386112207,0.316854042,0.230073236
,22.06.2003,0.296880187,0.38666138,0.31722568,0.230433752
,23.06.2003,0.296880275,0.387342941,0.31776476,0.23076712
,24.06.2003,0.295214581,0.38749818,0.318317522,0.231121986
,25.06.2003,0.291878022,0.386133093,0.318482325,0.231498676
,26.06.2003,0.291756603,0.384779423,0.318086462,0.23183184
,27.06.2003,0.293275368,0.384886593,0.317846947,0.232038271
,28.06.2003,0.294990034,0.385985304,0.318125589,0.232196254
,29.06.2003,0.295288326,0.387281694,0.318848671,0.232373781
,30.06.2003,0.294608538,0.387437415,0.31956322,0.232615359
,01.07.2003,0.296256752,0.388171203,0.320119042,0.232927349
,02.07.2003,0.297880125,0.389558625,0.32095672,0.233270947
,03.07.2003,0.299178548,0.391084635,0.322087015,0.233670357
,04.07.2003,0.300147224,0.392428592,0.323302953,0.234168165
,05.07.2003,0.30101921,0.393580869,0.324522788,0.234721376
,06.07.2003,0.300964744,0.394515769,0.325689303,0.235351458
,07.07.2003,0.299847379,0.394701757,0.326670414,0.2360335
,08.07.2003,0.298213346,0.394150352,0.327289145,0.236720585
,09.07.2003,0.298791586,0.393869701,0.327646698,0.237376274
,10.07.2003,0.298443173,0.394148028,0.328155041,0.237977654
,11.07.2003,0.29766656,0.394409511,0.328735242,0.238545838
,12.07.2003,0.296208806,0.394403419,0.329277549,0.239102503
,13.07.2003,0.294002483,0.394401887,0.329762655,0.239679543
,14.07.2003,0.290572878,0.394331156,0.330233481,0.240276225
,15.07.2003,0.287042159,0.394354429,0.330739973,0.240867194
,16.07.2003,0.281816444,0.3935418,0.331185284,0.241452175
,17.07.2003,0.276820084,0.392504224,0.331323729,0.242058193
,18.07.2003,0.272884347,0.391799864,0.331518349,0.242645796
,19.07.2003,0.268888577,0.39093449,0.331846631,0.243224566
,20.07.2003,0.265534318,0.389531819,0.33206455,0.243799568
,21.07.2003,0.260388283,0.387187102,0.332081501,0.244410834
,22.07.2003,0.257024521,0.384290441,0.331727411,0.244990017
,23.07.2003,0.25255779,0.38159666,0.331453227,0.245492125
,24.07.2003,0.248552261,0.378575254,0.331229977,0.245974698
,25.07.2003,0.246471925,0.375515865,0.330970789,0.246472795
,26.07.2003,0.24415398,0.372421782,0.330794013,0.246999955
,27.07.2003,0.24241389,0.369083592,0.330525591,0.247557218
,28.07.2003,0.240415931,0.366163067,0.330212013,0.248142575
,29.07.2003,0.237572086,0.363112906,0.329742282,0.248760493
,30.07.2003,0.234356887,0.35911807,0.328789428,0.249356627
,31.07.2003,0.232123776,0.355237911,0.327331395,0.249894838
,01.08.2003,0.22910009,0.351691343,0.325754533,0.250360878
,02.08.2003,0.226483191,0.34805117,0.323744153,0.250757802
,03.08.2003,0.225243126,0.345131803,0.321412116,0.25110592
,04.08.2003,0.223076071,0.342815852,0.319188747,0.251408467
,05.08.2003,0.220876644,0.340059308,0.316340388,0.251721746
,06.08.2003,0.219199158,0.337837394,0.313685155,0.252044174
,07.08.2003,0.218152117,0.336279918,0.31162588,0.252378279
,08.08.2003,0.215567775,0.334605431,0.310005625,0.252741693
,09.08.2003,0.213808747,0.332519378,0.307575193,0.253100579
,10.08.2003,0.212246321,0.330698832,0.304930447,0.253400439
,11.08.2003,0.211196654,0.329004241,0.302354042,0.253627362
,12.08.2003,0.209752588,0.327455243,0.300057277,0.253849462
,13.08.2003,0.208101891,0.325689809,0.297813854,0.254040393
,14.08.2003,0.206050805,0.323681937,0.295692824,0.254211369
,15.08.2003,0.204235425,0.321437197,0.293632326,0.254333997
,16.08.2003,0.202600325,0.319232964,0.291513465,0.254390582
,17.08.2003,0.201378618,0.317388286,0.289499279,0.254363567
,18.08.2003,0.199481982,0.315762728,0.28802628,0.254334501
,19.08.2003,0.195791748,0.313536309,0.286526001,0.254302909
,20.08.2003,0.195151481,0.310856977,0.284067946,0.254105612
,21.08.2003,0.19535387,0.309541852,0.281786499,0.253786861
,22.08.2003,0.195118275,0.308693442,0.280075004,0.253446944
,23.08.2003,0.194913751,0.308008804,0.278550605,0.253087551
,24.08.2003,0.193674717,0.307176913,0.277331566,0.252760324
,25.08.2003,0.191133984,0.305583279,0.276170152,0.252490337
,26.08.2003,0.189745664,0.303375194,0.274470367,0.25217715
,27.08.2003,0.189872869,0.302065652,0.272704655,0.25178733
,28.08.2003,0.189717882,0.301188487,0.271212125,0.251344964
,29.08.2003,0.18884524,0.300730995,0.270174904,0.250957942
,30.08.2003,0.186938168,0.299391643,0.283096222,0.250783076
,31.08.2003,0.190023943,0.296408389,0.268900432,0.250684048
,01.09.2003,0.189849984,0.293417421,0.267062762,0.223428223
,02.09.2003,0.191033935,0.291943441,0.265294415,0.24985871
,03.09.2003,0.192213111,0.291550758,0.264070793,0.249245125
,04.09.2003,0.192022829,0.291184142,0.263363041,0.248703914
,05.09.2003,0.193368196,0.291110103,0.262823049,0.248179971
,06.09.2003,0.194257038,0.291704298,0.262622064,0.247738771
,07.09.2003,0.193595909,0.291806889,0.262662354,0.247460765
,08.09.2003,0.191782533,0.290857218,0.262511652,0.247294175
