@T,A1A2A3,,,,
descr,average observed soil water content at probes A1 A2 A3 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,18.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1570.333333,,,
x,,513651,,,
y,,4495344.667,,,
,26.06.2003,0.329521003,0.32661228,0.222716661,0.191463609
,27.06.2003,0.330867442,0.326286783,0.223054313,0.191235159
,28.06.2003,0.332515118,0.32685077,0.223836481,0.191045737
,29.06.2003,0.333136537,0.327590634,0.224991988,0.19095745
,30.06.2003,0.33263775,0.327646476,0.226181182,0.191038999
,01.07.2003,0.334091278,0.328041679,0.22724025,0.191182298
,02.07.2003,0.335472095,0.328914812,0.228497993,0.191354398
,03.07.2003,0.336345087,0.32987908,0.229953483,0.191643619
,04.07.2003,0.336794074,0.330656931,0.231534071,0.192073077
,05.07.2003,0.337164425,0.331358589,0.233074232,0.192564275
,06.07.2003,0.336854475,0.331866572,0.234603672,0.225598145
,07.07.2003,0.335801639,0.331865138,0.236028794,0.193652853
,08.07.2003,0.334223923,0.331288008,0.237140062,0.194119078
,09.07.2003,0.334514888,0.330955151,0.237948805,0.194446115
,10.07.2003,0.334076488,0.330907367,0.238851165,0.194671303
,11.07.2003,0.333405917,0.330839905,0.239842466,0.194872837
,12.07.2003,0.332669222,0.330598893,0.240766259,0.19509405
,13.07.2003,0.331713987,0.330327834,0.241489817,0.195257721
,14.07.2003,0.33044718,0.329921094,0.242116116,0.195439055
,15.07.2003,0.329320198,0.329783173,0.242982057,0.195607834
,16.07.2003,0.327036752,0.329109774,0.243801138,0.195874177
,17.07.2003,0.325638999,0.328223464,0.244145024,0.195940131
,18.07.2003,0.324686146,0.327763438,0.244583553,0.195975695
,19.07.2003,0.322919699,0.327383078,0.245254531,0.196026855
,20.07.2003,0.321281385,0.326882605,0.245949135,0.196132301
,21.07.2003,0.317968864,0.325721564,0.246341964,0.196251436
,22.07.2003,0.316450182,0.324486158,0.246322658,0.196113585
,23.07.2003,0.314597284,0.323594359,0.246228336,0.195813518
,24.07.2003,0.312322806,0.322542874,0.246106939,0.195440366
,25.07.2003,0.277861789,0.321751491,0.246101769,0.195022904
,26.07.2003,0.308993163,0.321040167,0.246263285,0.194690848
,27.07.2003,0.307633559,0.320366497,0.246392465,0.194337749
,28.07.2003,0.306131361,0.319804041,0.246736825,0.194234671
,29.07.2003,0.304038517,0.318870912,0.247038142,0.194215399
,30.07.2003,0.301577592,0.317055735,0.247011738,0.194156032
,31.07.2003,0.300044052,0.315294284,0.246811824,0.193979823
,01.08.2003,0.298360164,0.313978069,0.246787215,0.193787679
,02.08.2003,0.297591396,0.312742427,0.246538702,0.221158778
,03.08.2003,0.297985073,0.312093307,0.246399379,0.192905999
,04.08.2003,0.297398845,0.311683011,0.246608493,0.192755639
,05.08.2003,0.297041896,0.311151187,0.246714824,0.192446749
,06.08.2003,0.297167601,0.310879227,0.246889489,0.192205266
,07.08.2003,0.297209257,0.310903714,0.24733364,0.192372216
,08.08.2003,0.295585071,0.310636429,0.248002185,0.192887879
,09.08.2003,0.295814032,0.310335416,0.248463557,0.193105897
,10.08.2003,0.296099241,0.310315138,0.248894593,0.193298988
,11.08.2003,0.29682244,0.310531163,0.249383806,0.193494089
,12.08.2003,0.297003395,0.310725958,0.25000208,0.193860947
,13.08.2003,0.297058351,0.310722081,0.250603249,0.194335399
,14.08.2003,0.296328416,0.310504994,0.251062741,0.194824167
,15.08.2003,0.295933965,0.310047031,0.251446088,0.195379302
,16.08.2003,0.295705007,0.309679178,0.25168997,0.195779195
,17.08.2003,0.295723968,0.30955558,0.252013259,0.196121217
,18.08.2003,0.294510763,0.309123874,0.252314216,0.196454274
,19.08.2003,0.291383285,0.30786455,0.252373794,0.196662364
,20.08.2003,0.292457523,0.306933301,0.252048034,0.196697905
,21.08.2003,0.293726753,0.307125431,0.252026306,0.196627604
,22.08.2003,0.294353436,0.307416468,0.252293504,0.196673662
,23.08.2003,0.294807824,0.307829299,0.252695916,0.196809385
,24.08.2003,0.293825738,0.307921468,0.253093278,0.196974452
,25.08.2003,0.291343623,0.307034204,0.253260028,0.197134972
,26.08.2003,0.291200958,0.306048543,0.25309189,0.197185868
,27.08.2003,0.292330225,0.306091994,0.252996843,0.197125451
,28.08.2003,0.292946995,0.306252426,0.253128575,0.197132043
,29.08.2003,0.291711789,0.306446164,0.253435482,0.197211905
,30.08.2003,0.29417713,0.305087753,0.25352893,0.197332657
,31.08.2003,0.32149882,0.309320376,0.253045853,0.19732487
,01.09.2003,0.317421095,0.31980626,0.251871727,0.196797889
,02.09.2003,0.31759435,0.320692578,0.251018726,0.196093956
,03.09.2003,0.317944321,0.321163527,0.250858056,0.195534701
,04.09.2003,0.317144937,0.320980808,0.251405886,0.195194665
,05.09.2003,0.318382862,0.321186631,0.252782246,0.195009021
,06.09.2003,0.318450722,0.321805325,0.254761039,0.194980392
,07.09.2003,0.317441716,0.321663303,0.256670268,0.1951322
,08.09.2003,0.316932249,0.321550963,0.25802688,0.195296928
,09.09.2003,0.315967245,0.321442339,0.259063503,0.195344874
,10.09.2003,0.314649343,0.320616982,0.260035593,0.195298807
,11.09.2003,0.312146421,0.319276823,0.260608311,0.195238116
,12.09.2003,0.311766886,0.317898014,0.260540604,0.195101263
,13.09.2003,0.311588846,0.317352393,0.260396805,0.194979292
,14.09.2003,0.309582418,0.316240707,0.260179631,0.194899449
,15.09.2003,0.308900541,0.314929257,0.25967053,0.194739021
,16.09.2003,0.310320085,0.314620554,0.259153937,0.194546943
,17.09.2003,0.310751812,0.314932756,0.259038257,0.19443491
,18.09.2003,0.305755298,0.313721409,0.258983138,0.194460645
,19.09.2003,0.304018396,0.311532711,0.258106774,0.194246654
,20.09.2003,0.304457212,0.310387516,0.257085656,0.193820375
,21.09.2003,0.305084617,0.309870561,0.256384766,0.193360227
,22.09.2003,0.304700449,0.309698687,0.255988866,0.192988036
,23.09.2003,0.305139829,0.309263441,0.255629176,0.192696386
,24.09.2003,0.306141915,0.309421977,0.255448259,0.192457984
,25.09.2003,0.305454847,0.309311801,0.255418775,0.192323999
,26.09.2003,0.306280077,0.309200686,0.25530676,0.192232177
,27.09.2003,0.305962511,0.309338359,0.255320499,0.192194746
,28.09.2003,0.305102894,0.308976861,0.255264504,0.192181405
,29.09.2003,0.30377533,0.30831416,0.255039113,0.1921233
,30.09.2003,0.302206014,0.307337309,0.254632136,0.191973131
,01.10.2003,0.299626479,0.305743464,0.253954614,0.19163918
,02.10.2003,0.30005169,0.304597526,0.253057692,0.191149537
,03.10.2003,0.301264386,0.304299992,0.252416862,0.190634958
,04.10.2003,0.301088867,0.304411115,0.252136919,0.190242851
,05.10.2003,0.301060228,0.304083836,0.251904172,0.189967214
,06.10.2003,0.301844399,0.304099091,0.251708208,0.189731662
,07.10.2003,0.302145174,0.304353492,0.251666888,0.189556538
,08.10.2003,0.303252865,0.304586906,0.2517502,0.189461531
,09.10.2003,0.303496793,0.305053231,0.25195338,0.189466216
,10.10.2003,0.303749943,0.305291117,0.252168653,0.189544281
,11.10.2003,0.302988549,0.305390343,0.252363646,0.189688429
,12.10.2003,0.3003001,0.304469138,0.25233652,0.18978877
