@T,A4C1C2C3C4,,,,
descr,average observed soil water content at probe A4 C1 C2 C3 C4 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1580.4,,,
x,,513568.6,,,
y,,4494995,,,
,29.04.2003,0.287019913,0.179307881,0.096434829,0.111616833
,30.04.2003,0.287320759,0.181544185,0.099788703,0.111990241
,01.05.2003,0.286606559,0.181865314,0.102913787,0.11240817
,02.05.2003,0.28780061,0.181530606,0.105505534,0.112730318
,03.05.2003,0.292413375,0.18248551,0.11057377,0.112928361
,04.05.2003,0.296524973,0.184708341,0.110119964,0.113209095
,05.05.2003,0.296910256,0.185984075,0.112342345,0.113653837
,06.05.2003,0.29714115,0.18659453,0.11394359,0.114089304
,07.05.2003,0.298054088,0.187482641,0.115117999,0.11441251
,08.05.2003,0.299011789,0.188726045,0.116080425,0.114666058
,09.05.2003,0.297812317,0.189734558,0.116865276,0.11490528
,10.05.2003,0.311885273,0.191104107,0.117254867,0.115101204
,11.05.2003,0.334456472,0.200163418,0.118179116,0.115102037
,12.05.2003,0.331894624,0.218818784,0.124271492,0.114763267
,13.05.2003,0.331795849,0.231673796,0.126483312,0.114387493
,14.05.2003,0.331570245,0.239948272,0.127475521,0.114257427
,15.05.2003,0.332109059,0.246008691,0.128312146,0.114438434
,16.05.2003,0.331735787,0.250153689,0.129225467,0.114871856
,17.05.2003,0.332740469,0.253887245,0.130112771,0.115458332
,18.05.2003,0.332581063,0.257694002,0.131140742,0.116176828
,19.05.2003,0.329961971,0.26086002,0.132070065,0.117007369
,20.05.2003,0.325613545,0.261823901,0.132476631,0.117754003
,21.05.2003,0.324854743,0.262401349,0.132192141,0.118224278
,22.05.2003,0.326997955,0.264704423,0.132015131,0.118458467
,23.05.2003,0.328534045,0.268069156,0.132472091,0.118746899
,24.05.2003,0.329323425,0.271513376,0.133377735,0.119247548
,25.05.2003,0.328666983,0.274072317,0.134473369,0.119931663
,26.05.2003,0.328136469,0.275870805,0.135508034,0.120657882
,27.05.2003,0.327689861,0.277158819,0.136546868,0.121351957
,28.05.2003,0.329270117,0.278774499,0.137719447,0.121999229
,29.05.2003,0.330618756,0.280896848,0.139332535,0.122690229
,30.05.2003,0.331309571,0.28293754,0.141313328,0.123543614
,31.05.2003,0.329452952,0.284105004,0.14341899,0.124523966
,01.06.2003,0.327702311,0.283853532,0.145175588,0.125507692
,02.06.2003,0.326278046,0.283205925,0.146565981,0.126356762
,03.06.2003,0.325444072,0.282763688,0.147792456,0.127091494
,04.06.2003,0.32408836,0.282024925,0.148981799,0.127801204
,05.06.2003,0.32491377,0.280405343,0.149859665,0.128487687
,06.06.2003,0.324359961,0.28034702,0.150303722,0.129029898
,07.06.2003,0.325716582,0.28172981,0.150808117,0.129433113
,08.06.2003,0.326889571,0.283989667,0.151574569,0.129810247
,09.06.2003,0.329098228,0.286726568,0.15294419,0.13026621
,10.06.2003,0.32940065,0.288853013,0.154986154,0.130998124
,11.06.2003,0.33076726,0.290650501,0.157247404,0.132013156
,12.06.2003,0.330948883,0.292305102,0.159764043,0.133362724
,13.06.2003,0.330934307,0.29342005,0.162308442,0.135109097
,14.06.2003,0.330879291,0.294064761,0.164745953,0.137265823
,15.06.2003,0.331438506,0.294809916,0.167035007,0.139713543
,16.06.2003,0.332209299,0.29585651,0.169243887,0.142315037
,17.06.2003,0.331936624,0.296685294,0.171461713,0.144861555
,18.06.2003,0.330540531,0.296799967,0.173486422,0.147161348
,19.06.2003,0.329493354,0.296187522,0.17518196,0.149027662
,20.06.2003,0.329442436,0.295937434,0.176676725,0.150439597
,21.06.2003,0.329457911,0.295883814,0.178282257,0.151515977
,22.06.2003,0.32984723,0.296310178,0.180077087,0.152391425
,23.06.2003,0.329510361,0.296745728,0.182105083,0.153195671
,24.06.2003,0.327862518,0.296703561,0.184409252,0.154150698
,25.06.2003,0.324690479,0.295166676,0.186286425,0.154894649
,26.06.2003,0.324149615,0.29351701,0.187508682,0.155257129
,27.06.2003,0.325278333,0.293037419,0.188708029,0.155359656
,28.06.2003,0.326849311,0.293503398,0.19027683,0.155473174
,29.06.2003,0.327507824,0.294287636,0.192234148,0.155743554
,30.06.2003,0.327110944,0.294335349,0.194262595,0.156142328
,01.07.2003,0.328549136,0.294751625,0.196137012,0.156535921
,02.07.2003,0.330063857,0.295743874,0.198218006,0.156978642
,03.07.2003,0.331189981,0.29691585,0.200529342,0.157517322
,04.07.2003,0.332023372,0.297992959,0.202927455,0.158196041
,05.07.2003,0.332759047,0.298941093,0.205302667,0.158941433
,06.07.2003,0.332940495,0.299754337,0.207636263,0.159711003
,07.07.2003,0.332322162,0.300052326,0.209783043,0.160492833
,08.07.2003,0.331212425,0.29976297,0.20531142,0.161206679
,09.07.2003,0.331860555,0.299694146,0.213071534,0.161760353
,10.07.2003,0.332042976,0.300004454,0.214596904,0.162260315
,11.07.2003,0.332093412,0.300280643,0.21611086,0.162763623
,12.07.2003,0.332033023,0.300384986,0.217523643,0.163288593
,13.07.2003,0.332117396,0.291089671,0.218856386,0.163795635
,14.07.2003,0.332305766,0.300754926,0.220127318,0.164298774
,15.07.2003,0.332358913,0.301085293,0.221371488,0.164800061
,16.07.2003,0.33127391,0.300868178,0.222513499,0.165334946
,17.07.2003,0.331255494,0.300576307,0.223362253,0.165795715
,18.07.2003,0.331865609,0.300728058,0.22417936,0.166189275
,19.07.2003,0.331529483,0.300930597,0.225090571,0.166613489
,20.07.2003,0.331113313,0.300847089,0.225920007,0.16706796
,21.07.2003,0.329403026,0.300241498,0.22657198,0.167506543
,22.07.2003,0.329461141,0.299623316,0.226880878,0.167824428
,23.07.2003,0.329596829,0.29947014,0.227235316,0.168070024
,24.07.2003,0.329694143,0.299424729,0.227660344,0.168331748
,25.07.2003,0.330281814,0.299602967,0.22813364,0.168640769
,26.07.2003,0.330274785,0.299877043,0.228744596,0.168999103
,27.07.2003,0.330488993,0.300071413,0.229341357,0.169428985
,28.07.2003,0.330138528,0.300193097,0.229937648,0.169886473
,29.07.2003,0.328944701,0.299889964,0.230408102,0.170369741
,30.07.2003,0.327534522,0.299042177,0.230605258,0.170778744
,31.07.2003,0.326894537,0.298293125,0.230533714,0.171054368
,01.08.2003,0.325749814,0.297433665,0.230395835,0.171245318
,02.08.2003,0.325468424,0.296732319,0.23016352,0.171364053
,03.08.2003,0.326211688,0.296555494,0.230018393,0.171456102
,04.08.2003,0.326124024,0.296593269,0.230108417,0.171605854
,05.08.2003,0.326265317,0.296528143,0.23024829,0.171853867
,06.08.2003,0.326789144,0.296715195,0.23044823,0.172145598
,07.08.2003,0.327291966,0.297105884,0.230811462,0.172520412
,08.08.2003,0.326428554,0.29709287,0.23123934,0.173005038
,09.08.2003,0.326230864,0.296750542,0.231371086,0.173468954
,10.08.2003,0.326301706,0.296647803,0.23145667,0.173857723
,11.08.2003,0.326652213,0.296758513,0.231605006,0.174251405
,12.08.2003,0.326520299,0.296860276,0.231831284,0.174677933
,13.08.2003,0.326212056,0.296792941,0.232039846,0.175152355
,14.08.2003,0.325430191,0.296540234,0.232174083,0.175613012
,15.08.2003,0.324782171,0.296109573,0.232297982,0.176030981
,16.08.2003,0.324337994,0.295648023,0.232192826,0.176396099
,17.08.2003,0.324161747,0.295389429,0.232081851,0.176722176
,18.08.2003,0.323156824,0.294939565,0.232009068,0.177045111
,19.08.2003,0.320563898,0.293805898,0.23176971,0.177338822
,20.08.2003,0.320791349,0.292684484,0.231167601,0.177488256
,21.08.2003,0.321614963,0.292621262,0.230754585,0.17753151
,22.08.2003,0.321937424,0.292720793,0.230662042,0.177672767
,23.08.2003,0.322250286,0.292939945,0.230691203,0.177924271
,24.08.2003,0.321585879,0.292906666,0.230795704,0.178262762
,25.08.2003,0.319477368,0.292139348,0.230753178,0.17862505
,26.08.2003,0.318896773,0.29107332,0.230353156,0.178878149
,27.08.2003,0.319707759,0.290897936,0.229982966,0.178993685
,28.08.2003,0.320119874,0.290979175,0.229907542,0.1791529
,29.08.2003,0.319418299,0.291083186,0.229930068,0.179416335
,30.08.2003,0.315790916,0.289906912,0.229799433,0.179715156
,31.08.2003,0.31192438,0.287205038,0.228999782,0.179842676
,01.09.2003,0.311771331,0.284950325,0.227633249,0.179578623
,02.09.2003,0.314026866,0.284017812,0.226390732,0.179098596
,03.09.2003,0.316308272,0.284277714,0.225685011,0.178692174
,04.09.2003,0.316678029,0.284453941,0.225375751,0.178500362
,05.09.2003,0.318576678,0.284836204,0.225114899,0.178439716
,06.09.2003,0.319705609,0.285737257,0.225130759,0.178499817
,07.09.2003,0.319139567,0.286082278,0.225285004,0.17871302
,08.09.2003,0.317105113,0.285391455,0.225227979,0.178960284
,09.09.2003,0.316758072,0.28469858,0.224787477,0.179065334
,10.09.2003,0.316009624,0.284053969,0.224344342,0.179048558
,11.09.2003,0.314090041,0.283140208,0.223842873,0.178972966
,12.09.2003,0.313433344,0.281925829,0.223120042,0.178794993
,13.09.2003,0.313548308,0.281480924,0.222441565,0.178535703
,14.09.2003,0.311830875,0.280664077,0.221921438,0.178298049
,15.09.2003,0.311035996,0.279506042,0.221239211,0.178026318
,16.09.2003,0.312294117,0.279199397,0.220553762,0.177686691
,17.09.2003,0.313138732,0.279584252,0.220250215,0.177437139
,18.09.2003,0.309346367,0.278905651,0.220146526,0.177346779
,19.09.2003,0.307192067,0.28928909,0.219430812,0.177184984
,20.09.2003,0.307349538,0.27566717,0.218416097,0.176794778
,21.09.2003,0.307715738,0.275157186,0.217658071,0.176334664
,22.09.2003,0.30783121,0.275055774,0.217135128,0.175966086
,23.09.2003,0.307812798,0.274705735,0.216750407,0.175699335
,24.09.2003,0.308741376,0.274848073,0.216477637,0.175514217
,25.09.2003,0.308212741,0.274910333,0.216399323,0.175412584
,26.09.2003,0.308883277,0.274842108,0.216273723,0.175382619
,27.09.2003,0.308649928,0.27500151,0.216257518,0.175405021
,28.09.2003,0.30790982,0.274739742,0.216190786,0.175492766
,29.09.2003,0.306635084,0.274119408,0.215954366,0.175557076
,30.09.2003,0.305130628,0.273167692,0.215550325,0.175526487
,01.10.2003,0.302686679,0.271665541,0.214893164,0.17535835
,02.10.2003,0.302825659,0.270473916,0.213998937,0.175049361
,03.10.2003,0.303658831,0.270083039,0.213330671,0.174667913
,04.10.2003,0.30358,0.270187759,0.212988058,0.174382625
,05.10.2003,0.303481997,0.269896866,0.212737899,0.174211753
,06.10.2003,0.304127268,0.269909038,0.212508312,0.174081857
,07.10.2003,0.304466474,0.270161823,0.21244837,0.174024444
,08.10.2003,0.305282441,0.270413641,0.212469509,0.17405021
,09.10.2003,0.305563714,0.270858043,0.212618429,0.174152228
,10.10.2003,0.305780395,0.271144502,0.212796357,0.174325985
,11.10.2003,0.305175773,0.271291336,0.212977104,0.174543845
,12.10.2003,0.302789121,0.270516999,0.212962194,0.174754935
,13.10.2003,0.302234285,0.269606835,0.212579765,0.174842943
,14.10.2003,0.299860568,0.268590418,0.212127882,0.174797466
,15.10.2003,0.298010526,0.267075195,0.211396528,0.174633609
,16.10.2003,0.297048883,0.26579291,0.210522544,0.174310017
,17.10.2003,0.296378794,0.264765019,0.209697737,0.173911499
,18.10.2003,0.297810473,0.256377927,0.209019488,0.173512559
,19.10.2003,0.298720537,0.265040245,0.208800249,0.173229725
,20.10.2003,0.299367824,0.265554286,0.208850617,0.173131068
,21.10.2003,0.299335666,0.266096694,0.209048567,0.173193402
,22.10.2003,0.298958202,0.266331241,0.209261248,0.173343765
,23.10.2003,0.298490724,0.266526238,0.209420977,0.173537396
,24.10.2003,0.297887659,0.26665371,0.209571645,0.173746209
,25.10.2003,0.294718045,0.266094247,0.209636301,0.179850524
,26.10.2003,0.290515301,0.26412415,0.209174902,0.174055147
,27.10.2003,0.289289121,0.262143488,0.208173378,0.173866124
,28.10.2003,0.289416077,0.261306599,0.207253968,0.173464574
,29.10.2003,0.28824304,0.260770714,0.206643252,0.173077773
,30.10.2003,0.28720199,0.260455148,0.206182319,0.172785222
,31.10.2003,0.282147257,0.258490556,0.205598116,0.172519291
,01.11.2003,0.279150455,0.255584581,0.204238088,0.172041097
,02.11.2003,0.277608782,0.253329541,0.202606394,0.171266385
,03.11.2003,0.276329761,0.251493746,0.201083139,0.170353312
,04.11.2003,0.27534457,0.249920351,0.199687696,0.169429789
,05.11.2003,0.274034846,0.248721504,0.198448724,0.168538976
,06.11.2003,0.272430474,0.247094068,0.19727384,0.167686895
,07.11.2003,0.27205884,0.245947966,0.196093925,0.166831461
,08.11.2003,0.271564702,0.245159764,0.195130176,0.166029477
,09.11.2003,0.271350057,0.244578999,0.19433778,0.16532688
,10.11.2003,0.271200557,0.244154624,0.193700851,0.164721555
,11.11.2003,0.27101799,0.243975039,0.193243041,0.164220771
,12.11.2003,0.270642182,0.243779316,0.192906054,0.163824991
,13.11.2003,0.268909006,0.243238001,0.192584516,0.163508136
,14.11.2003,0.268170413,0.242458196,0.19208676,0.163195768
,15.11.2003,0.267342415,0.241870948,0.19156982,0.162853775
,16.11.2003,0.266166777,0.241233232,0.191093359,0.162507232
,17.11.2003,0.265101872,0.240394496,0.19054551,0.162156475
,18.11.2003,0.264183639,0.239601574,0.18994733,0.161776561
,19.11.2003,0.264394643,0.239092779,0.189378325,0.161379919
,20.11.2003,0.264620219,0.239198653,0.189050995,0.16103146
