@T,Climate,,,,,
descr,solar radiation,,,,,
unit,MJ/m2,,,,,
missing_val,-9999,,,,,
date_start,01.01.1990,,,,,
date_end,31.12.2008,,,,,
date_format,dd.MM.yyyy,,,,,
,,,,,,
@H,date,solrad[1],solrad[2],solrad[3],solrad[4],solrad[5]
name,,waterloo,ame,ass,blg,cme
ID,,1,2,3,4,5
elevation,,287,276,275,266,273
,10.08.1990,19.83,-9999,-9999,-9999,-9999
,11.08.1990,27.28,-9999,-9999,-9999,-9999
,12.08.1990,24.73,-9999,-9999,-9999,-9999
,13.08.1990,11.51,-9999,-9999,-9999,-9999
,14.08.1990,26.15,-9999,-9999,-9999,-9999
,15.08.1990,21,-9999,-9999,-9999,-9999
,16.08.1990,21.25,-9999,-9999,-9999,-9999
,17.08.1990,22.01,-9999,-9999,-9999,-9999
,18.08.1990,18.33,-9999,-9999,-9999,-9999
,19.08.1990,22.51,-9999,-9999,-9999,-9999
,20.08.1990,12.84,-9999,-9999,-9999,-9999
,21.08.1990,19.87,-9999,-9999,-9999,-9999
,22.08.1990,27.45,-9999,-9999,-9999,-9999
,23.08.1990,18.58,-9999,-9999,-9999,-9999
,24.08.1990,22.43,-9999,-9999,-9999,-9999
,25.08.1990,16.65,-9999,-9999,-9999,-9999
,26.08.1990,22.26,-9999,-9999,-9999,-9999
,27.08.1990,19.75,-9999,-9999,-9999,-9999
,28.08.1990,25.06,-9999,-9999,-9999,-9999
,29.08.1990,10.71,-9999,-9999,-9999,-9999
,30.08.1990,24.14,-9999,-9999,-9999,-9999
,31.08.1990,10.04,-9999,-9999,-9999,-9999
,01.09.1990,12.05,-9999,-9999,-9999,-9999
,02.09.1990,12.13,-9999,-9999,-9999,-9999
,03.09.1990,10.84,-9999,-9999,-9999,-9999
,04.09.1990,20.79,-9999,-9999,-9999,-9999
,05.09.1990,21.76,-9999,-9999,-9999,-9999
,06.09.1990,16.99,-9999,-9999,-9999,-9999
,07.09.1990,14.23,-9999,-9999,-9999,-9999
,08.09.1990,19.41,-9999,-9999,-9999,-9999
,09.09.1990,16.32,-9999,-9999,-9999,-9999
,10.09.1990,18.74,-9999,-9999,-9999,-9999
,11.09.1990,16.28,-9999,-9999,-9999,-9999
