@T,climate,,,,,,,,,,,,,,,,,
descr,relative humidity,,,,,,,,,,,,,,,,,
unit,%,,,,,,,,,,,,,,,,,
 missing_value,-9999,,,,,,,,,,,,,,,,,
date_start,01.01.1918,,,,,,,,,,,,,,,,,
date_end,31.12.2014,,,,,,,,,,,,,,,,,
 date_format,dd.MM.yyyy,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@H,date,rehum[0],rehum[1],rehum[2],rehum[3],rehum[4],rehum[5],rehum[6],rehum[7],rehum[8],rehum[9],rehum[10],rehum[11],rehum[12],rehum[13],rehum[14],rehum[15],rehum[16]
name,,Greeley GLY03,Greeley LIRF GLY04,Greeley Generic,Drake,Drake Generic,Akron,Akron Generic,ARDEC,ARDEC Generic,Ft Collins,Ft Collins Generic,Ault,Ault Generic,Stratton,Stratton Generic,Sterling DAP,Sterling Generic
ID,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
elevation,,1426,1427,1427,1572,1572,1383,1383,1558,1558,1525,1525,1497,1497,1335,1335,1363,1363
x,,529937,530697,530697,512701,512701,658244,658244,500000,500000,492746,492746,523701,523701,736677,736677,658762,658762
y,,4476587,4477623,4477623,4495474,4495474,4446593,4446593,4500182,4500182,4491727,4491727,4490951,4490951,4340328,4340328,4470503,4470503
,16.04.1918,-9999,-9999,-9999,-9999,-9999,64.63,50.8,-9999,-9999,-9999,60.42,-9999,-9999,-9999,-9999,-9999,-9999
,17.04.1918,-9999,-9999,-9999,-9999,-9999,48.89,48.3,-9999,-9999,-9999,60.22,-9999,-9999,-9999,-9999,-9999,-9999
,18.04.1918,-9999,-9999,-9999,-9999,-9999,62.88,48.4,-9999,-9999,-9999,52.33,-9999,-9999,-9999,-9999,-9999,-9999
,19.04.1918,-9999,-9999,-9999,-9999,-9999,83.98,51.3,-9999,-9999,-9999,48.17,-9999,-9999,-9999,-9999,-9999,-9999
,20.04.1918,-9999,-9999,-9999,-9999,-9999,76.43,50.8,-9999,-9999,-9999,57.16,-9999,-9999,-9999,-9999,-9999,-9999
,21.04.1918,-9999,-9999,-9999,-9999,-9999,36.73,50.2,-9999,-9999,-9999,54.68,-9999,-9999,-9999,-9999,-9999,-9999
,22.04.1918,-9999,-9999,-9999,-9999,-9999,45.38,52.3,-9999,-9999,-9999,57.3,-9999,-9999,-9999,-9999,-9999,-9999
,23.04.1918,-9999,-9999,-9999,-9999,-9999,60.06,51.7,-9999,-9999,-9999,58.58,-9999,-9999,-9999,-9999,-9999,-9999
,24.04.1918,-9999,-9999,-9999,-9999,-9999,65.86,53.4,-9999,-9999,-9999,59.8,-9999,-9999,-9999,-9999,-9999,-9999
,25.04.1918,-9999,-9999,-9999,-9999,-9999,42.2,53.8,-9999,-9999,-9999,58.48,-9999,-9999,-9999,-9999,-9999,-9999
,26.04.1918,-9999,-9999,-9999,-9999,-9999,52.08,52.3,-9999,-9999,-9999,55.39,-9999,-9999,-9999,-9999,-9999,-9999
,27.04.1918,-9999,-9999,-9999,-9999,-9999,65.56,52.1,-9999,-9999,-9999,55.46,-9999,-9999,-9999,-9999,-9999,-9999
,28.04.1918,-9999,-9999,-9999,-9999,-9999,55.22,50.4,-9999,-9999,-9999,53.56,-9999,-9999,-9999,-9999,-9999,-9999
,29.04.1918,-9999,-9999,-9999,-9999,-9999,64.96,54,-9999,-9999,-9999,56.34,-9999,-9999,-9999,-9999,-9999,-9999
,30.04.1918,-9999,-9999,-9999,-9999,-9999,33.51,52.8,-9999,-9999,-9999,56.07,-9999,-9999,-9999,-9999,-9999,-9999
