@T,climate,,,,,,,,,,,,,,,,,
name,wind,,,,,,,,,,,,,,,,,
desc,wind speed,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 missing_value,-9999,,,,,,,,,,,,,,,,,
date_start,01.01.1918,,,,,,,,,,,,,,,,,
date_end,31.12.2014,,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
tres,d,,,,,,,,,,,,,,,,,
unit,m/s,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@H,date,wind[0],wind[1],wind[2],wind[3],wind[4],wind[5],wind[6],wind[7],wind[8],wind[9],wind[10],wind[11],wind[12],wind[13],wind[14],wind[15],wind[16]
name,-,Greeley GLY03,Greeley LIRF GLY04,Greeley Generic,Drake,Drake Generic,Akron,Akron Generic,ARDEC,ARDEC Generic,Ft Collins,Ft Collins Generic,Ault,Ault Generic,Stratton,Stratton Generic,Sterling DAP,Sterling Generic
ID,-,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
elevation,-,1426,1427,1427,1572,1572,1383,1383,1558,1558,1525,1525,1497,1497,1335,1335,1363,1363
,19.04.1918,-9999,-9999,-9999,-9999,-9999,9,6.17,-9999,-9999,-9999,3.35,-9999,-9999,-9999,-9999,-9999,-9999
,20.04.1918,-9999,-9999,-9999,-9999,-9999,6.6,6.13,-9999,-9999,-9999,2.23,-9999,-9999,-9999,-9999,-9999,-9999
,21.04.1918,-9999,-9999,-9999,-9999,-9999,13.5,5.99,-9999,-9999,-9999,2.26,-9999,-9999,-9999,-9999,-9999,-9999
,22.04.1918,-9999,-9999,-9999,-9999,-9999,5.3,5.85,-9999,-9999,-9999,2.26,-9999,-9999,-9999,-9999,-9999,-9999
,23.04.1918,-9999,-9999,-9999,-9999,-9999,9.3,6.51,-9999,-9999,-9999,2.56,-9999,-9999,-9999,-9999,-9999,-9999
,24.04.1918,-9999,-9999,-9999,-9999,-9999,4.3,6.33,-9999,-9999,-9999,2.63,-9999,-9999,-9999,-9999,-9999,-9999
,25.04.1918,-9999,-9999,-9999,-9999,-9999,4.7,6.15,-9999,-9999,-9999,2.41,-9999,-9999,-9999,-9999,-9999,-9999
,26.04.1918,-9999,-9999,-9999,-9999,-9999,11,5.75,-9999,-9999,-9999,2.3,-9999,-9999,-9999,-9999,-9999,-9999
,27.04.1918,-9999,-9999,-9999,-9999,-9999,1.7,5.21,-9999,-9999,-9999,2.59,-9999,-9999,-9999,-9999,-9999,-9999
,28.04.1918,-9999,-9999,-9999,-9999,-9999,9.7,6.51,-9999,-9999,-9999,2.42,-9999,-9999,-9999,-9999,-9999,-9999
