@T,climate     ,,,,,,,,,,,,,,,,,
name,rainfall     ,,,,,,,,,,,,,,,,,
desc,measured rainfall     ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,,,,,
date_start,01.01.1918,,,,,,,,,,,,,,,,,
date_end,31.12.2014,,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy     ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
tres,d     ,,NOTE: ,Precip Values need to be changed in this sheet for GENERIC sites if there are data there now 6/5/14.,,,,,,,,,,,,,,
unit,mm     ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@H,date,Greeley GLY03,Greeley LIRF GLY04,Greeley Generic,Drake,Drake Generic,Akron,Akron Generic,ARDEC,ARDEC Generic,Ft Collins,Ft Collins Generic,Ault,Ault Generic,Stratton,Stratton Generic,Sterling DAP,Sterling Generic
ID,-,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,02.05.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,5.33,-9999,-9999,-9999,-9999,-9999,-9999
,03.05.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,04.05.1918,-9999,-9999,-9999,-9999,-9999,0,5.6,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,05.05.1918,-9999,-9999,-9999,-9999,-9999,0,1,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,06.05.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,07.05.1918,-9999,-9999,-9999,-9999,-9999,0,4.3,-9999,-9999,0,0.51,-9999,-9999,-9999,-9999,-9999,-9999
,08.05.1918,-9999,-9999,-9999,-9999,-9999,0.3,0,-9999,-9999,0,4.83,-9999,-9999,-9999,-9999,-9999,-9999
,09.05.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,4.32,-9999,-9999,-9999,-9999,-9999,-9999
,10.05.1918,-9999,-9999,-9999,-9999,-9999,0.5,0,-9999,-9999,7.4,0.51,-9999,-9999,-9999,-9999,-9999,-9999
,11.05.1918,-9999,-9999,-9999,-9999,-9999,1.5,0,-9999,-9999,10.4,1.27,-9999,-9999,-9999,-9999,-9999,-9999
,12.05.1918,-9999,-9999,-9999,-9999,-9999,3,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,13.05.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,14.05.1918,-9999,-9999,-9999,-9999,-9999,0,7.6,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
