@T,reaches
name,reach 
descr,reach.csv 

@H,ID,length,slope,rough,width,deepsink
min,0,0,0,0,0,0
max,99999999,99999999,90,9999,99999999,1
unit,n/a,m,%,n/a,m,n/a
,-339,719,2.08,30,2,0
,-340,2207,1.93,30,2.3,0
,-341,2154,1.83,30,2.6,0
,-342,4536,0.94,30,1.2,0
,-343,831,1.54,30,0.7,0
,-344,439,0.89,30,2.2,0
,-345,1197,0.84,30,0.7,0
,-346,499,1.42,30,0.7,0
,-347,1386,1.62,30,2.8,0
,-348,387,1.27,30,0.7,0
,-349,2013,1.18,30,0.9,0
,-350,1146,2.15,30,1.4,0
,-351,1008,0.8,30,1,0
,-352,1700,0.85,30,0.9,0
,-353,1581,0.62,30,10.8,0
,-354,42,0.36,30,0.6,0
,-355,1068,2.07,30,2.9,0
,-356,3835,1.37,30,1,0
,-357,594,1.95,30,0.7,0
,-358,499,1.41,30,2.3,0
,-359,1398,0.93,30,2.1,0
,-360,169,0.06,30,0.6,0
,-361,1541,1.35,30,1.3,0
,-362,1736,1.77,30,3.7,0
,-363,42,1.2,30,3.7,0
,-364,384,0.58,30,0.6,0
,-365,199,1.32,30,13,0
,-366,482,0.79,30,4.9,0
,-367,7099,1.69,30,1.3,0
,-368,2292,1.38,30,3.9,0
,-369,367,0.64,30,0.6,0
,-370,1380,2.2,30,4.7,0
,-371,2292,1.19,30,13.7,0
,-372,1241,4.53,30,0.7,0
,-373,1661,0.52,30,0.7,0
,-374,42,0.01,30,4,0
,-375,2602,2.97,30,1,0
,-376,1583,2.65,30,4.1,0
,-377,561,3.53,30,0.7,0
,-378,114,1.37,30,13.8,0
,-379,1183,1.34,30,13.8,0
,-380,632,2.65,30,4.5,0
,-381,1598,2.01,30,0.9,0
,-382,1338,1.2,30,2.1,0
,-383,2777,0.61,30,0.9,0
,-384,1431,0.98,30,13.8,0
,-385,1431,5.71,30,1,0
,-386,2840,0.79,30,1.8,0
,-387,482,1.11,30,0.6,0
,-388,127,0.01,30,0.6,0
,-389,1071,0.45,30,1.3,0
,-390,754,0.58,30,13.9,0
,-391,886,2.47,30,0.7,0
,-392,277,2.94,30,0.7,0
,-393,727,4.31,30,0.7,0
,-394,509,0.02,30,0.8,0
,-395,1346,1.39,30,13.9,0
,-396,72,1.8,30,13.9,0
,-397,30,6.87,30,0.6,0
