@T,hrus ,,,,,,,,,,,,,,
descr,hrus.csv ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,slopelength,sedpool,tiledrainage
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,9999,9999999,9999999,10000,9999999999,3,90,360,999999,9999,9999,9999,9999,9999,1
unit,n/a,m,m,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,m,t,n/a
,178,657754,4594902,290,63000,2,2.6,205.1085,0,11,81,1,45.6657,0,0
,179,658549,4594725,291,325800,3,0.9,211.7194,0,11,82,1,146.951,0,0
,180,663379,4594870,285,73800,3,1.5,116.6732,0,2,82,1,50.6544,0,0
,181,670324,4594777,288,365400,2,1.6,72.9248,0,2,82,1,195.86,0,0
,182,673129,4594646,276,378000,3,0.5,14.4774,0,11,82,1,10,0,0
,183,662164,4594948,291,145800,2,1.7,113.1419,0,2,81,1,63.0746,0,0
,184,673939,4594945,282,63900,2,1.1,164.3592,0,2,41,1,234.656,0,0
,185,650869,4594759,311,151200,2,1,25.0617,0,2,41,1,25,0,0
,186,660214,4594928,303,63000,2,1.7,341.7227,0,2,82,1,25,0,0
,187,661819,4594738,296,149400,2,1.3,67.4215,0,2,82,1,12.5,0,0
,188,667429,4594181,290,810900,3,1,-1,0,10,82,1,51.0872,0,0
,189,651874,4594753,311,111600,2,2.9,115.9262,0,2,82,1,141.013,0,0
,190,672769,4594964,274,3600,3,0.1,-1,0,11,11,1,399.111,0,0
,191,650554,4594658,310,110700,2,0.9,157.1661,0,2,82,1,389.205,0,0
,192,653554,4594896,303,58500,2,2.7,343.8393,0,2,82,1,24.5404,0,0
,193,657184,4594684,285,154800,3,2.9,71.094,0,15,82,1,51.5026,0,0
,194,658399,4594380,290,233100,3,1.4,340.5981,0,11,82,1,20.6723,0,0
,195,654289,4594440,306,422100,3,3.4,25.1562,0,15,82,1,10,0,0
,196,654589,4594755,305,51300,2,4.9,203.9966,0,15,82,1,10,0,0
,197,661189,4593916,296,1117800,2,1.3,116.324,0,2,82,1,10,0,0
,198,661759,4594492,296,474300,2,1.1,112.3403,0,2,82,1,46.348,0,0
,199,669094,4594519,287,311400,3,2.2,162.6627,0,2,81,1,78.5213,0,0
,200,656419,4594712,294,54000,2,2,299.511,0,15,82,1,25,0,0
,201,657709,4594660,286,143100,2,3.6,108.3292,0,11,82,1,76.8964,0,0
,202,657889,4594279,286,218700,3,3.7,246.8461,0,11,82,1,10,0,0
,203,659809,4594479,300,473400,2,0.9,252.213,0,2,82,1,41.115,0,0
,204,654019,4594620,307,52200,2,2.7,19.3998,0,15,82,1,58.3107,0,0
,205,654889,4594643,306,75600,2,2.5,245.4026,0,15,82,1,25,0,0
,206,655789,4594290,291,311400,3,1.1,296.4921,0,15,82,1,25,0,0
,207,653794,4594271,307,444600,2,1.7,250.403,0,15,82,1,40.1783,0,0
,208,655489,4594549,294,57600,2,1.8,68.2993,0,15,82,1,68.4371,0,0
,209,651514,4594570,311,104400,2,1.4,204.4289,0,2,41,1,101.934,0,0
,210,657274,4594394,282,369900,3,1.9,71.744,0,11,82,1,113.493,0,0
,211,668734,4594365,291,117900,2,2.1,160.6193,0,2,82,1,44.3509,0,0
,212,651199,4594588,311,66600,2,1.6,208.6171,0,2,82,1,53.1768,0,0
,213,669664,4594391,290,192600,2,2.4,113.5395,0,2,82,1,18.5399,0,0
,214,671494,4594404,277,118800,3,1,161.9832,0,2,82,1,95.1709,0,0
,215,663544,4594493,284,73800,2,1.4,207.6907,0,10,82,1,65.6754,0,0
,216,670729,4594408,282,164700,2,1.6,66.2738,0,2,81,1,25,0,0
,217,651874,4594588,307,64800,2,1,33.3036,0,2,41,1,103.974,0,0
,218,651919,4594316,310,150300,2,2.7,24.0966,0,2,82,1,67.5139,0,0
,219,657019,4594374,286,220500,3,2.4,161.6798,0,15,82,1,79.0476,0,0
,220,655519,4594412,295,141300,2,2.4,72.3799,0,15,82,1,26.4423,0,0
,221,662254,4594130,287,766800,3,1,116.0447,0,10,82,1,23.2258,0,0
,222,663034,4594012,284,830700,3,1.1,296.9402,0,10,82,1,25,0,0
,223,656629,4594192,290,296100,3,2.2,202.946,0,15,82,1,19.3074,0,0
,224,650524,4594412,307,120600,2,1.8,251.4683,0,2,41,1,69.6429,0,0
