@T,Parameter,,,,,,,,,,,,,
descr,hrus.csv,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,slopelength,sedpool
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,9999,999999,9999999,10000,9999999999,3,90,360,999999,9999,9999,9999,9999,9999
unit,n/a,m,m,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,m,t
,303,661639,4595708,289,27900,2,1.8,335.0137,0,2,81,1,100,0
,304,661924,4595629,293,56700,2,1.3,305.3851,0,2,81,1,100,0
,305,672814,4595655,277,54000,2,0.2,-1,0,11,82,1,100,0
,306,652339,4595712,305,26100,2,1.8,258.7393,0,2,82,1,100,0
,307,656704,4595678,300,16200,2,1.6,208.4631,0,15,82,1,100,0
,308,656779,4595665,300,34200,2,2.5,104.0122,0,15,81,1,100,0
,309,657514,4595592,298,19800,2,1.8,117.9829,0,15,82,1,100,0
,310,664084,4595261,289,254700,2,0.8,164.0786,0,10,82,1,100,0
,311,669484,4595599,291,108900,2,0.6,24.7829,0,10,82,1,100,0
,312,669814,4595569,293,47700,2,1.2,341.5315,0,2,82,1,100,0
,313,671989,4595586,282,141300,2,0.9,112.8667,0,2,82,1,100,0
,314,653809,4595635,310,16200,2,2.2,63.706,0,2,82,1,100,0
,315,654364,4595623,306,122400,2,2.3,201.2904,0,2,82,1,100,0
,316,659974,4595546,301,66600,2,0.5,163.4623,0,15,81,1,100,0
,317,661354,4595595,290,58500,2,2.9,20.2331,0,2,81,1,100,0
,318,663934,4595622,293,21600,2,1,125.7824,0,10,82,1,100,0
,319,664219,4595592,291,33300,2,0.5,210.8904,0,10,82,1,100,0
,320,657409,4595573,301,15300,2,1.5,70.354,0,15,82,1,100,0
,321,659149,4595450,296,663300,3,0.7,253.8296,0,15,82,1,100,0
,322,663799,4595428,291,78300,2,1.6,159.8031,0,10,82,1,100,0
,323,672679,4595535,277,30600,2,0.4,73.2887,0,11,82,1,100,0
,324,673819,4595511,281,34200,2,0.8,4.6902,0,2,82,1,100,0
,325,656644,4595562,301,54000,2,1.8,66.8121,0,15,81,1,100,0
,326,658144,4595562,293,28800,2,1.1,164.4058,0,11,82,1,100,0
,327,658894,4595502,296,50400,2,1,253.86,0,15,82,1,100,0
,328,660109,4595562,301,18000,2,0.4,-1,0,15,82,1,100,0
,329,660784,4595601,297,16200,2,2.1,112.0109,0,15,82,1,100,0
,330,660154,4595100,296,104400,2,1.1,342.6673,0,2,82,1,100,0
,331,661069,4595535,294,41400,2,2.5,21.8051,0,2,41,1,100,0
,332,661654,4595575,291,20700,2,1.8,340.1711,0,2,81,1,100,0
,333,669649,4595481,293,22500,2,1.2,337.1187,0,2,82,1,100,0
,334,672754,4594984,276,279900,3,0.7,165.6295,0,11,81,1,100,0
,335,652774,4595224,303,355500,3,2.4,24.2743,0,2,82,1,100,0
,336,659704,4595532,301,33300,2,0.7,257.7549,0,15,82,1,100,0
,337,663649,4595528,292,17100,2,1.3,248.1662,0,2,82,1,100,0
,338,652054,4594844,306,427500,2,1.9,295.2084,0,2,82,1,100,0
,339,654139,4595502,307,24300,2,2.4,64.1252,0,2,82,1,100,0
,340,660199,4595528,301,18900,2,0.5,295.0154,0,15,82,1,100,0
,341,660574,4595533,300,92700,2,1.8,157.8224,0,15,82,1,100,0
,342,673669,4595442,280,36000,2,1.3,289.9941,0,11,82,1,100,0
,343,653854,4595511,308,15300,2,1.9,195.2038,0,2,82,1,100,0
,344,657844,4595485,295,52200,2,1.4,342.6219,0,11,82,1,100,0
,345,659389,4594906,297,854100,2,1,296.7157,0,15,82,1,100,0
,346,661114,4595264,294,49500,2,2.5,115.2693,0,2,82,1,100,0
,347,669094,4595485,290,61200,2,1.3,250.8746,0,10,82,1,100,0
,348,673459,4595432,278,26100,2,1.6,24.3471,0,11,81,1,100,0
,349,654994,4595464,308,18000,2,3,259.7491,0,15,81,1,100,0
,350,656029,4595481,303,26100,2,2,193.8342,0,15,81,1,100,0
,351,657304,4595415,298,65700,2,4.5,203.5858,0,15,82,1,100,0
,352,661114,4595294,295,22500,2,4.2,299.6337,0,2,41,1,100,0
,353,666094,4595362,289,269100,3,0.7,-1,0,2,82,1,100,0
