@T,Climate,,,,,,,,,
descr,relative humidity,,,,,,,,,
unit,%,,,,,,,,,
missing_val,-9999,,,,,,,,,
date_start,01.01.1990,,,,,,,,,
date_end,30.06.2012,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,
,,,,,,,,,,
@H,date,rehum[1],rehum[2],rehum[3],rehum[4],rehum[5],rehum[6],rehum[7],rehum[8],rehum[9]
name,,ad,alg,ame,as1,as2,axl,blg,cme,d14
ID,,ad,alg,ame,as1,as2,axl,blg,cme,d14
elevation,,289,272,276,278,273,266,265,270,294
x,,667713,670478,673154,669101,669649,666717,666826,660768,661139
y,,4592666,4590999,4595188,4591404,4591124,4586416,4584121,4588357,4593315
,26.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.05.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
