@T, Parameter,,,,,,,,,,,,
desc,routing.csv,,,,,,,,,,,,
,,,,,,,,,,,,,
@H, from, to, weight,,,,,,,,,,
,243,249,1,,,,,,,,,,
,244,258,1,,,,,,,,,,
,245,213,1,,,,,,,,,,
,246,268,0.99245,182,0.00755,,,,,,,,
,247,341,0.01414,275,0.98586,,,,,,,,
,248,274,1,,,,,,,,,,
,249,251,1,,,,,,,,,,
,250,283,0.03297,247,0.96703,,,,,,,,
,251,212,1,,,,,,,,,,
,252,257,1,,,,,,,,,,
,253,254,1,,,,,,,,,,
,254,273,1,,,,,,,,,,
,255,265,1,,,,,,,,,,
,256,261,1,,,,,,,,,,
,257,212,0.05882,258,0.94118,,,,,,,,
,258,212,1,,,,,,,,,,
,259,220,1,,,,,,,,,,
,260,278,1,,,,,,,,,,
,261,248,1,,,,,,,,,,
,262,316,0.60274,263,0.39726,,,,,,,,
,263,316,1,,,,,,,,,,
,264,212,1,,,,,,,,,,
,265,298,0.12195,286,0.87805,,,,,,,,
,266,286,1,,,,,,,,,,
,267,289,0.70833,326,0.29167,,,,,,,,
,268,321,1,,,,,,,,,,
,269,316,0.07547,263,0.39623,340,0.50943,328,0.01887,,,,
,270,238,1,,,,,,,,,,
,271,225,0.79032,304,0.19355,-5,0.01613,,,,,,
,272,278,1,,,,,,,,,,
,273,285,1,,,,,,,,,,
,274,246,1,,,,,,,,,,
,275,302,1,,,,,,,,,,
,276,-6,0.16667,-3,0.83333,,,,,,,,
,277,258,1,,,,,,,,,,
,278,319,1,,,,,,,,,,
,279,335,0.13529,306,0.4,338,0.46471,,,,,,
,280,306,0.18705,259,0.25899,335,0.39568,220,0.04317,279,0.10072,-12,0.01439
,281,259,1,,,,,,,,,,
,282,273,0.34884,285,0.65116,,,,,,,,
,283,247,1,,,,,,,,,,
,284,278,1,,,,,,,,,,
,285,359,1,,,,,,,,,,
,286,288,1,,,,,,,,,,
,287,293,1,,,,,,,,,,
,288,298,1,,,,,,,,,,
,289,300,1,,,,,,,,,,
,290,318,1,,,,,,,,,,
,291,310,1,,,,,,,,,,
,292,307,1,,,,,,,,,,
,293,298,1,,,,,,,,,,
,294,-8,0.99918,-20,0.00082,,,,,,,,
,295,296,1,,,,,,,,,,
,296,334,0.96,232,0.04,,,,,,,,
,297,414,1,,,,,,,,,,
,298,359,1,,,,,,,,,,
,299,321,1,,,,,,,,,,
,300,301,0.93711,321,0.06289,,,,,,,,
,301,-10,0.9992,-22,0.0008,,,,,,,,
,302,225,1,,,,,,,,,,
,303,225,1,,,,,,,,,,
,304,225,1,,,,,,,,,,
,305,334,1,,,,,,,,,,
,306,335,1,,,,,,,,,,
,307,325,1,,,,,,,,,,
,308,285,1,,,,,,,,,,
,309,298,1,,,,,,,,,,
,310,412,1,,,,,,,,,,
,311,312,1,,,,,,,,,,
,312,196,1,,,,,,,,,,
,313,355,1,,,,,,,,,,
,314,297,1,,,,,,,,,,
,315,297,1,,,,,,,,,,
,316,384,1,,,,,,,,,,
,317,225,1,,,,,,,,,,
,318,310,1,,,,,,,,,,
,319,310,1,,,,,,,,,,
,320,309,1,,,,,,,,,,
,321,301,0.26427,-10,0.73573,,,,,,,,
,322,310,1,,,,,,,,,,
,323,382,0.00737,305,0.99263,,,,,,,,
,324,232,1,,,,,,,,,,
,325,308,1,,,,,,,,,,
,326,301,1,,,,,,,,,,
,327,321,1,,,,,,,,,,
,328,316,1,,,,,,,,,,
,329,330,1,,,,,,,,,,
,330,302,1,,,,,,,,,,
,331,317,0.95671,330,0.04329,,,,,,,,
,332,303,1,,,,,,,,,,
,333,311,1,,,,,,,,,,
,334,-11,0.99978,-17,0.00022,,,,,,,,
,335,-12,0.99951,-13,0.00049,,,,,,,,
,336,299,1,,,,,,,,,,
,337,212,1,,,,,,,,,,
,338,335,1,,,,,,,,,,
,339,297,1,,,,,,,,,,
,340,328,1,,,,,,,,,,
,341,367,0.65455,330,0.34545,,,,,,,,
,342,348,1,,,,,,,,,,
,343,356,1,,,,,,,,,,
,344,298,1,,,,,,,,,,
,345,450,1,,,,,,,,,,
,346,331,1,,,,,,,,,,
,347,380,1,,,,,,,,,,
,348,232,1,,,,,,,,,,
,349,358,1,,,,,,,,,,
,350,364,1,,,,,,,,,,
,351,359,1,,,,,,,,,,
,352,346,1,,,,,,,,,,
,353,-7,0.99666,-8,0.00334,,,,,,,,
,354,378,1,,,,,,,,,,
,355,360,1,,,,,,,,,,
,356,357,1,,,,,,,,,,
,357,-13,1,,,,,,,,,,
,358,297,1,,,,,,,,,,
,359,472,0.00143,423,0.99857,,,,,,,,
,360,334,0.99567,-11,0.00433,,,,,,,,
,361,395,1,,,,,,,,,,
,362,426,1,,,,,,,,,,
,363,396,1,,,,,,,,,,
,364,428,1,,,,,,,,,,
,365,411,1,,,,,,,,,,
,366,485,1,,,,,,,,,,
,367,330,1,,,,,,,,,,
,368,331,0.2449,346,0.7551,,,,,,,,
,369,332,1,,,,,,,,,,
,370,399,1,,,,,,,,,,
,371,391,0.1496,-14,0.8499,-20,0.0005,,,,,,
,372,394,1,,,,,,,,,,
,373,419,0.04651,407,0.95349,,,,,,,,
,374,414,1,,,,,,,,,,
,375,427,0.44565,388,0.55435,,,,,,,,
,376,325,1,,,,,,,,,,
,377,399,1,,,,,,,,,,
,378,-14,0.00033,-15,0.99967,,,,,,,,
,379,381,1,,,,,,,,,,
,380,379,0.75,381,0.25,,,,,,,,
,381,431,0.23344,442,0.76656,,,,,,,,
,382,360,1,,,,,,,,,,
,383,364,1,,,,,,,,,,
,384,397,1,,,,,,,,,,
,385,369,1,,,,,,,,,,
,386,310,1,,,,,,,,,,
,387,432,1,,,,,,,,,,
,388,389,1,,,,,,,,,,
,389,546,1,,,,,,,,,,
,390,321,1,,,,,,,,,,
,391,-14,1,,,,,,,,,,
,392,342,1,,,,,,,,,,
,393,401,1,,,,,,,,,,
,394,460,1,,,,,,,,,,
,395,372,1,,,,,,,,,,
,396,438,1,,,,,,,,,,
,397,367,1,,,,,,,,,,
,398,330,1,,,,,,,,,,
,399,492,1,,,,,,,,,,
,400,404,0.83784,439,0.16216,,,,,,,,
,401,334,1,,,,,,,,,,
,402,389,1,,,,,,,,,,
,403,417,1,,,,,,,,,,
,404,212,1,,,,,,,,,,
,405,212,1,,,,,,,,,,
,406,474,1,,,,,,,,,,
,407,419,1,,,,,,,,,,
,408,297,1,,,,,,,,,,
,409,297,1,,,,,,,,,,
,410,358,1,,,,,,,,,,
,411,364,1,,,,,,,,,,
,412,440,1,,,,,,,,,,
,413,379,1,,,,,,,,,,
,414,357,1,,,,,,,,,,
,415,428,1,,,,,,,,,,
,416,359,1,,,,,,,,,,
,417,366,1,,,,,,,,,,
,418,440,0.67299,310,0.23697,480,0.06635,500,0.0237,,,,
,419,338,1,,,,,,,,,,
,420,414,1,,,,,,,,,,
,421,406,1,,,,,,,,,,
,422,576,0.2424,-17,0.7576,,,,,,,,
,423,489,1,,,,,,,,,,
,424,321,1,,,,,,,,,,
,425,-16,0.99969,-13,0.00031,,,,,,,,
,426,-13,1,,,,,,,,,,
,427,389,1,,,,,,,,,,
,428,489,1,,,,,,,,,,
,429,433,0.25,398,0.75,,,,,,,,
,430,441,0.88571,406,0.11429,,,,,,,,
,431,442,1,,,,,,,,,,
,432,419,1,,,,,,,,,,
,433,330,1,,,,,,,,,,
,434,352,1,,,,,,,,,,
,435,422,1,,,,,,,,,,
,436,454,1,,,,,,,,,,
,437,419,0.23567,432,0.01274,338,0.75159,,,,,,
,438,357,0.1982,-13,0.8018,,,,,,,,
,439,212,1,,,,,,,,,,
,440,452,1,,,,,,,,,,
,441,516,1,,,,,,,,,,
,442,511,1,,,,,,,,,,
,443,468,1,,,,,,,,,,
,444,454,0.00176,602,0.11444,560,0.02553,520,0.85827,,,,
,445,444,1,,,,,,,,,,
,446,410,1,,,,,,,,,,
,447,433,1,,,,,,,,,,
,448,462,1,,,,,,,,,,
,449,464,0.23529,484,0.76471,,,,,,,,
,450,-22,0.00047,-19,0.99953,,,,,,,,
,451,369,1,,,,,,,,,,
,452,500,1,,,,,,,,,,
