@T, Parameter,,
desc,routing.csv,,
,,,
@H, from, to, weight
,1077,-42,1
,1078,980,1
,1079,1073,1
,1080,1066,1
,1081,-40,1
,1082,1152,1
,1083,1061,1
,1084,-42,1
,1085,1065,1
,1086,1175,1
,1087,940,1
,1088,991,1
,1089,1133,1
,1090,1040,1
,1091,-41,1
,1092,965,1
,1093,1081,1
,1094,1069,1
,1095,761,1
,1096,1043,1
,1097,953,1
,1098,1083,1
,1099,1066,1
,1100,1132,1
,1101,1100,1
,1102,955,1
,1103,1080,1
,1104,1042,1
,1105,1080,1
,1106,1039,1
,1107,1227,1
,1108,1075,1
,1109,1189,1
,1110,1065,1
,1111,1127,1
,1112,1154,1
,1113,1110,1
,1114,1093,1
,1115,1093,1
,1116,1145,1
,1117,-56,1
,1118,1022,1
,1119,955,1
,1120,1083,1
,1121,1106,1
,1122,1132,1
,1123,1168,1
,1124,1061,1
,1125,1124,1
,1126,1062,1
,1127,1112,1
,1128,-35,1
,1129,1130,1
,1130,-53,1
,1131,1093,1
,1132,1140,1
,1133,1012,1
,1134,1152,1
,1135,1178,1
,1136,1181,1
,1137,955,1
,1138,1154,1
,1139,844,1
,1140,940,1
,1141,1133,1
,1142,1124,1
,1143,1081,1
,1144,1067,1
,1145,1141,1
,1146,1118,1
,1147,1206,1
,1148,1128,1
,1149,1129,1
,1150,1067,1
,1151,1140,1
,1152,1353,1
,1153,955,1
,1154,1148,1
,1155,1158,1
,1156,1141,1
,1157,1145,1
,1158,1115,1
,1159,1151,1
,1160,1152,1
,1161,-42,1
,1162,1148,1
,1163,1169,1
,1164,1143,1
,1165,1141,1
,1166,1156,1
,1167,955,1
,1168,-59,1
,1169,1208,1
,1170,1165,1
,1171,1166,1
,1172,1211,1
,1173,1174,1
,1174,1039,1
,1175,1067,1
,1176,1151,1
,1177,1176,1
,1178,1152,1
,1179,1211,1
,1180,1348,1
,1181,953,1
,1182,1128,1
,1183,1203,1
,1184,1147,1
,1185,1122,1
,1186,955,1
,1187,-51,1
,1188,1194,1
,1189,1128,1
,1190,1159,1
,1191,1211,1
,1192,1146,1
,1193,1186,1
,1194,1154,1
,1195,1189,1
,1196,1189,1
,1197,1109,1
,1198,1042,1
,1199,1168,1
,1200,955,1
,1201,1152,1
,1202,1211,1
,1203,1199,1
,1204,1107,1
,1205,1234,1
,1206,-51,1
,1207,1218,1
,1208,1130,1
,1209,-62,1
,1210,1177,1
,1211,1180,1
,1212,-62,1
,1213,1247,1
,1214,1257,1
,1215,1214,1
,1216,1168,1
,1217,1182,1
,1218,1219,1
,1219,1169,1
,1220,1039,1
,1221,1232,1
,1222,1166,1
,1223,1243,1
,1224,1200,1
,1225,1042,1
,1226,1168,1
,1227,1444,1
,1228,1235,1
,1229,1200,1
,1230,1200,1
,1231,1130,1
,1232,-62,1
,1233,1257,1
,1234,1117,1
,1235,1224,1
,1236,1246,1
,1237,1249,1
,1238,1241,1
,1239,1182,1
,1240,1252,1
,1241,1274,1
,1242,1250,1
,1243,1260,1
,1244,1152,1
,1245,1161,1
,1246,1265,1
,1247,1274,1
,1248,1297,1
,1249,1269,1
,1250,1260,1
,1251,1261,1
,1252,1276,1
,1253,1200,1
,1254,1189,1
,1255,1300,1
,1256,1231,1
,1257,1273,1
,1258,1277,1
,1259,1232,1
,1260,1275,1
,1261,1201,1
,1262,-57,1
,1263,1258,1
,1264,1224,1
,1265,1147,1
,1266,1289,1
,1267,1255,1
,1268,1291,1
,1269,1247,1
,1270,1282,1
,1271,1307,1
,1272,-62,1
,1273,1250,1
,1274,1272,1
,1275,1283,1
,1276,1211,1
,1277,1371,1
,1278,1277,1
,1279,1298,1
,1280,-61,1
,1281,1306,1
,1282,1309,1
,1283,1152,1
,1284,1292,1
,1285,1284,1
,1286,1297,1
,1287,1294,1
,1288,1287,1
,1289,1282,1
,1290,1301,1
,1291,1271,1
,1292,1152,1
,1293,1312,1
,1294,1117,1
,1295,1290,1
,1296,1180,1
,1297,1107,1
,1298,1224,1
,1299,1330,1
,1300,1316,1
,1301,1300,1
,1302,1259,1
,1303,1275,1
,1304,1354,1
,1305,1224,1
,1306,1289,1
,1307,-52,1
,1308,1332,1
,1309,1361,1
,1310,1240,1
,1311,1211,1
,1312,1107,1
,1313,1107,1
,1314,1302,1
,1315,1323,1
,1316,-55,1
,1317,1370,1
,1318,1180,1
,1319,1337,1
,1320,1329,1
,1321,1322,1
,1322,1271,1
,1323,1292,1
,1324,1355,1
,1325,1370,1
,1326,1460,1
,1327,1324,1
,1328,1347,1
,1329,1351,1
,1330,1351,1
,1331,1307,1
,1332,1272,1
,1333,1379,1
,1334,1326,1
,1335,1262,1
,1336,1294,1
,1337,1338,1
,1338,1147,1
,1339,1332,1
,1340,1333,1
,1341,1335,1
,1342,1386,1
,1343,1358,1
,1344,1375,1
,1345,1384,1
,1346,1359,1
