Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,75 ,300 ,600 ,900 ,1200  
03/11/2002 00:00,731523.000000,33.000000,1,1,2,-553.467684,-480.898137,-443.020272,-577.797575,-917.347012 
03/11/2002 00:00,731523.000000,33.000000,1,1,2,-561.701942,-490.962190,-475.020165,-678.360414,-1230.128645 
04/11/2002 00:00,731524.000000,34.000000,1,1,2,-509.070840,-494.946935,-466.172685,-578.172580,-902.517503 
04/11/2002 00:00,731524.000000,34.000000,1,1,2,-511.156134,-499.673931,-473.988869,-586.743465,-879.489950 
04/11/2002 00:00,731524.000000,34.000000,1,1,2,-506.697284,-489.576879,-454.871007,-552.297192,-837.467393 
04/11/2002 00:00,731524.000000,34.000000,1,1,2,-510.993634,-499.426355,-485.486917,-647.510514,-1136.336255 
05/11/2002 00:00,731525.000000,35.000000,1,1,2,-416.407356,-486.811822,-474.022591,-558.897610,-824.447963 
05/11/2002 00:00,731525.000000,35.000000,1,1,2,-426.639047,-492.599375,-481.893304,-567.655649,-808.538068 
05/11/2002 00:00,731525.000000,35.000000,1,1,2,-416.170556,-481.679015,-463.065110,-534.559812,-763.208222 
05/11/2002 00:00,731525.000000,35.000000,1,1,2,-426.151109,-492.126546,-492.506344,-625.401629,-1047.900184 
06/11/2002 00:00,731526.000000,36.000000,1,1,2,-340.416761,-460.316182,-475.688292,-543.647109,-753.133677 
06/11/2002 00:00,731526.000000,36.000000,1,1,2,-344.363167,-467.198312,-483.903741,-552.716120,-743.053328 
06/11/2002 00:00,731526.000000,36.000000,1,1,2,-340.164952,-455.650235,-465.064515,-520.621931,-695.774380 
06/11/2002 00:00,731526.000000,36.000000,1,1,2,-343.720295,-466.394016,-493.531057,-607.751436,-966.804777 
07/11/2002 00:00,731527.000000,37.000000,1,1,2,-354.106063,-430.084587,-470.023108,-529.507053,-688.297511 
07/11/2002 00:00,731527.000000,37.000000,1,1,2,-357.156612,-436.891505,-478.738460,-539.079431,-683.035277 
07/11/2002 00:00,731527.000000,37.000000,1,1,2,-353.568803,-425.932349,-459.779700,-507.635754,-634.710012 
07/11/2002 00:00,731527.000000,37.000000,1,1,2,-356.146893,-435.646150,-487.172871,-591.408016,-893.010651 
08/11/2002 00:00,731528.000000,38.000000,1,1,2,-323.320835,-403.998535,-457.904596,-514.517064,-628.847705 
08/11/2002 00:00,731528.000000,38.000000,1,1,2,-325.323776,-410.451565,-467.090075,-524.772849,-627.682998 
08/11/2002 00:00,731528.000000,38.000000,1,1,2,-322.883373,-400.057832,-448.078891,-493.704029,-578.812373 
08/11/2002 00:00,731528.000000,38.000000,1,1,2,-324.295935,-408.754485,-474.104782,-574.172751,-825.427119 
09/11/2002 00:00,731529.000000,39.000000,1,1,2,-315.602963,-377.727009,-440.599027,-497.478478,-573.445686 
09/11/2002 00:00,731529.000000,39.000000,1,1,2,-317.373617,-383.635452,-450.126676,-508.545111,-575.891898 
09/11/2002 00:00,731529.000000,39.000000,1,1,2,-315.013745,-373.966849,-431.179002,-477.669512,-526.683027 
09/11/2002 00:00,731529.000000,39.000000,1,1,2,-316.609194,-381.585982,-455.577212,-554.649626,-762.580495 
10/11/2002 00:00,731530.000000,40.000000,1,1,2,-356.443207,-366.137452,-420.928901,-477.896573,-520.791518 
10/11/2002 00:00,731530.000000,40.000000,1,1,2,-358.392934,-371.547474,-430.590460,-489.826343,-526.528219 
10/11/2002 00:00,731530.000000,40.000000,1,1,2,-355.560073,-362.415312,-411.903694,-459.068867,-476.992147 
