date,AirT,Iprec,Swglob,RH
12/05/2002,8.47,1.4,204.27225,68.83
13/05/2002,12.2,0.4,341.4104167,42.53
14/05/2002,13.76,0,188.7264167,42.33
15/05/2002,15.62,0,122.836,45.98
16/05/2002,7.72,9.2,65.0055,89.58
17/05/2002,9.7,0.2,147.1353333,86.53
18/05/2002,13.53,0,276.8354167,71.23
19/05/2002,12.87,0,326.8451667,68.76
20/05/2002,11.02,0,104.7310833,81.38
21/05/2002,15.96,0,238.6883333,53.57
22/05/2002,13.59,0,360.1371667,21.5
23/05/2002,9.05,23.6,258.7065833,57.94
24/05/2002,4.57,14.4,152.6361667,94.74
25/05/2002,12.65,0,319.6940833,60.6
26/05/2002,18.19,0,344.2804167,34.3
27/05/2002,18.1,0,314.33675,44.71
28/05/2002,19.99,0,289.8939167,34.58
29/05/2002,21.83,0,256.3388333,32
30/05/2002,23.28,0,338.7556667,36.41
31/05/2002,24.88,0,268.7755,30.12
01/06/2002,21.69,0,169.617,41.73
02/06/2002,23.81,0,322.7554167,29.51
03/06/2002,16.1,11.4,245.16975,69.87
04/06/2002,12.06,12.2,175.5005,87.7
05/06/2002,15.69,0.4,350.5705,69.14
06/06/2002,21.44,0,328.8780833,42.13
07/06/2002,22.4,0,265.3315,37.67
08/06/2002,21.53,0,344.5435,52.6
09/06/2002,23.97,0,342.965,33.92
10/06/2002,17.72,0,320.6985833,33.11
11/06/2002,18.31,0,353.5600833,36.08
12/06/2002,19.22,0,363.5811667,31.36
13/06/2002,15.23,0,307.7118333,49.58
14/06/2002,17.53,0,326.319,43.37
15/06/2002,18.4,12.4,247.968,59.43
16/06/2002,19.02,0.2,304.7700833,62.03
17/06/2002,24.48,0,322.301,29.5
18/06/2002,26.03,0,296.4470833,19.38
19/06/2002,20.96,9.2,227.5431667,51.18
20/06/2002,19.57,0.2,236.4640833,72.96
21/06/2002,23.38,0,250.47925,46.48
22/06/2002,23.14,0,280.75775,48.31
23/06/2002,24.72,0,329.26075,28.95
24/06/2002,26.5,0,296.6145,25.1
25/06/2002,23.16,0,266.1925,41.63
26/06/2002,23.87,0,341.7930833,43.38
27/06/2002,24.76,0,292.7160833,34.77
28/06/2002,24.69,0,310.4383333,34.97
29/06/2002,26.58,0,321.0573333,29.46
30/06/2002,26.67,0,307.7596667,20.68
01/07/2002,29.38,0,310.31875,19.93
02/07/2002,27.12,0,273.58275,24.18
03/07/2002,22.53,3.8,204.3200833,50.73
04/07/2002,22.46,0,305.6789167,58.58
05/07/2002,22.2,0,299.1496667,61.79
06/07/2002,21.16,3.2,255.1190833,75.68
07/07/2002,23.74,0,312.0646667,62.6
08/07/2002,24.48,0,273.9654167,51.23
09/07/2002,25.45,0,308.9076667,36.37
10/07/2002,23.4,0,251.7468333,57.24
11/07/2002,21.29,0,347.8918333,52.33
12/07/2002,23.18,0,355.5451667,43.58
13/07/2002,24.06,0,315.126,38.44
14/07/2002,24.77,0,349.4703333,35.47
15/07/2002,25.01,0,347.9396667,43.19
16/07/2002,25.34,0,346.19375,36.62
17/07/2002,25.03,0,338.0620833,31.57
18/07/2002,26.11,0,322.9228333,26.48
19/07/2002,26.99,0,319.8615,29.48
20/07/2002,26.65,0,292.1420833,33.99
21/07/2002,21.92,0,258.2043333,55.51
22/07/2002,19.93,0,266.1685833,63.36
23/07/2002,22.52,0,204.631,55.04
24/07/2002,26.41,0,310.7014167,34.11
25/07/2002,23.2,0.2,171.0041667,44.75
26/07/2002,22.15,0,288.4110833,49.64
27/07/2002,24.53,0,314.33675,28.38
28/07/2002,23.1,0.4,273.0805,32.44
29/07/2002,25.39,0,335.7421667,21.84
