@T,D1D2,,,,
descr,average observed soil water content at probe D1 D2 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1583.5,,,
x,,513610.5,,,
y,,4494889.5,,,
,02.03.2003,0.143748565,0.165506445,0.138710265,0.184835287
,03.03.2003,0.145785326,0.165960347,0.138671869,0.184613092
,04.03.2003,0.147233854,0.167092122,0.138902752,0.184469155
,05.03.2003,0.145116933,0.167052631,0.139200421,0.184330944
,06.03.2003,0.145856812,0.166693268,0.139167795,0.184247738
,07.03.2003,0.148516183,0.167424728,0.13918767,0.184181502
,08.03.2003,0.151632733,0.168861728,0.139545691,0.184124515
,09.03.2003,0.153599119,0.170567892,0.140213563,0.184111171
,10.03.2003,0.154610251,0.171663914,0.140940566,0.184182024
,11.03.2003,0.157498243,0.172980767,0.141608065,0.184318633
,12.03.2003,0.160478746,0.174804753,0.14244209,0.184523668
,13.03.2003,0.163143387,0.176774286,0.143450493,0.184804453
,14.03.2003,0.165902286,0.178696115,0.144534978,0.185149343
,15.03.2003,0.169527019,0.18077685,0.145685323,0.185551881
,16.03.2003,0.1708626,0.182941544,0.146991512,0.186067518
,17.03.2003,0.170916072,0.184116427,0.148173918,0.186632678
,18.03.2003,0.166159346,0.183911134,0.149045225,0.187271415
,19.03.2003,0.160572336,0.181477897,0.14912353,0.187909892
,20.03.2003,0.158932685,0.179143226,0.148455205,0.188424716
,21.03.2003,0.161794205,0.17866714,0.147781349,0.188765769
,22.03.2003,0.164305798,0.179713055,0.147680046,0.188940861
,23.03.2003,0.165435533,0.180548395,0.147969386,0.189081636
,24.03.2003,0.167446955,0.181809337,0.148392843,0.189243878
,25.03.2003,0.163948575,0.181495418,0.148856741,0.189438575
,26.03.2003,0.165222803,0.18105033,0.148836729,0.189697137
,27.03.2003,0.165663814,0.181667968,0.148944258,0.189921905
,28.03.2003,0.161037488,0.180617293,0.149063711,0.190128009
,29.03.2003,0.15872904,0.178896922,0.14862768,0.190308045
,30.03.2003,0.157883823,0.177377859,0.147953754,0.190389726
,31.03.2003,0.161296881,0.177346971,0.147351828,0.190381338
,01.04.2003,0.166205344,0.179063354,0.147351596,0.1902897
,02.04.2003,0.169664837,0.181271007,0.147982516,0.190239962
,03.04.2003,0.171634297,0.183255398,0.14890669,0.190281323
,04.04.2003,0.170834093,0.184243917,0.149802884,0.190464609
,05.04.2003,0.168872402,0.184155717,0.150372233,0.190732924
,06.04.2003,0.16629837,0.183318665,0.150522699,0.191048683
,07.04.2003,0.162154194,0.181393808,0.150256605,0.191336909
,08.04.2003,0.16193274,0.179686707,0.149554158,0.191515536
