@T,B1B2B3,,,,
descr,average observed soil water content at probe B1 B2 B3 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,03.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1568.666667,,,
x,,513721.3333,,,
y,,4495332.667,,,
,27.10.2010,0.258428095,0.330644796,0.294859402,0.299765344
,28.10.2010,0.256767599,0.328705873,0.293798138,0.317132836
,29.10.2010,0.256444052,0.327114513,0.292718806,0.298705871
,30.10.2010,0.257590725,0.326525867,0.291842178,0.298128446
,31.10.2010,0.259466653,0.326842287,0.2913745,0.297513949
,01.11.2010,0.260264493,0.327328868,0.291176869,0.296967474
,02.11.2010,0.259653678,0.327383073,0.291064156,0.296498562
,03.11.2010,0.260574274,0.327262616,0.290856079,0.29609739
,04.11.2010,0.259831235,0.327325868,0.290745957,0.295758086
,05.11.2010,0.258324728,0.326462608,0.290467352,0.295416022
,06.11.2010,0.258766718,0.325796001,0.290028686,0.295085548
,07.11.2010,0.259718908,0.325862085,0.289728146,0.294774683
,08.11.2010,0.259170207,0.325837464,0.28955267,0.294422129
,09.11.2010,0.258943345,0.325541518,0.289361018,0.294126999
,10.11.2010,0.256340486,0.324546246,0.289114774,0.293858571
,11.11.2010,0.254831565,0.322795032,0.2885629,0.29358321
,12.11.2010,0.253938755,0.320760293,0.287724932,0.293244278
,13.11.2010,0.253463459,0.318727995,0.286685842,0.29282496
,14.11.2010,0.253492446,0.316957801,0.285652513,0.292325185
,15.11.2010,0.253314516,0.315556596,0.284672427,0.291729635
,16.11.2010,0.253438991,0.314304874,0.283825938,0.291109514
,17.11.2010,0.253268405,0.313454902,0.283087872,0.290479435
,18.11.2010,0.253693655,0.312551707,0.282419192,0.289846619
,19.11.2010,0.254178442,0.311565899,0.281751223,0.289219993
,20.11.2010,0.254454816,0.310859305,0.281192827,0.28861589
,21.11.2010,0.255882139,0.309881933,0.28060357,0.288028775
,22.11.2010,0.256409611,0.309037845,0.280032209,0.287434352
,23.11.2010,0.257992408,0.308214624,0.279493108,0.286908645
,24.11.2010,0.258339515,0.307122857,0.278895354,0.286335383
,25.11.2010,0.254641703,0.305960502,0.278274286,0.285784644
,26.11.2010,0.248699374,0.304511854,0.277539341,0.285225425
,27.11.2010,0.246469194,0.303236443,0.276744446,0.284620487
,28.11.2010,0.245842633,0.302333827,0.2760336,0.284009935
,29.11.2010,0.245718514,0.301732776,0.275446164,0.2834112
,30.11.2010,0.245343719,0.301246113,0.274981813,0.282815025
,01.12.2010,0.24461198,0.300540782,0.274471524,0.2822291
,02.12.2010,0.24452483,0.299953712,0.27402407,0.281659243
,03.12.2010,0.244991939,0.299716335,0.273613449,0.281114402
,04.12.2010,0.246771044,0.299946581,0.273355976,0.280638577
,05.12.2010,0.247782028,0.300382131,0.273268418,0.2801721
,06.12.2010,0.247591744,0.300481999,0.273162207,0.279745677
,07.12.2010,0.248060831,0.300380596,0.273025826,0.279368092
,08.12.2010,0.248580012,0.300547648,0.272930944,0.279053937
,09.12.2010,0.24902144,0.300447982,0.272810162,0.278731545
,10.12.2010,0.250702338,0.300918145,0.272756891,0.278455155
,11.12.2010,0.250575255,0.301218705,0.272806133,0.278210148
,12.12.2010,0.248927597,0.30080365,0.272738197,0.277974131
,13.12.2010,0.248765713,0.300179926,0.272481715,0.277745078
,14.12.2010,0.250738096,0.300398285,0.27228891,0.277511313
,15.12.2010,0.251532707,0.30093007,0.272253431,0.277285383
,16.12.2010,0.25046952,0.300966781,0.272296754,0.277077651
,17.12.2010,0.249020737,0.300281974,0.272180739,0.276896677
,18.12.2010,0.247951029,0.299535788,0.271878793,0.27669427
,19.12.2010,0.247185463,0.298796586,0.271492211,0.276459182
,20.12.2010,0.247379515,0.298331806,0.271138274,0.276199697
,21.12.2010,0.247966765,0.298366472,0.270897925,0.275932735
,22.12.2010,0.24768634,0.298257689,0.270749263,0.275661145
,23.12.2010,0.24726521,0.297917345,0.27054373,0.275382828
,24.12.2010,0.247549835,0.297699292,0.270287268,0.275126989
,25.12.2010,0.247777191,0.297759982,0.270126113,0.274867908
,26.12.2010,0.247050624,0.297486412,0.269983656,0.274615622
,27.12.2010,0.246654874,0.297051125,0.269758186,0.274388384
,28.12.2010,0.246744694,0.296811452,0.26953288,0.27413689
,29.12.2010,0.246596733,0.296678543,0.269346323,0.273894524
,30.12.2010,0.246492644,0.296489368,0.269200466,0.273680387
,31.12.2010,0.246205873,0.2963013,0.269014951,0.273449886
,01.01.2011,0.244868991,0.295841431,0.268813637,0.273237787
,02.01.2011,0.243329362,0.295074463,0.268514717,0.273036025
,03.01.2011,0.24110946,0.294204032,0.268132744,0.272841834
,04.01.2011,0.235956021,0.293457923,0.267679978,0.272603922
,05.01.2011,0.231689611,0.292840199,0.26720633,0.272333198
,06.01.2011,0.229493289,0.29236899,0.26677462,0.272000389
,07.01.2011,0.23082089,0.292122677,0.266423196,0.271667379
,08.01.2011,0.233722643,0.292005689,0.266177353,0.27133992
,09.01.2011,0.236323491,0.291951478,0.266006978,0.27101958
,10.01.2011,0.238792027,0.291903505,0.265878337,0.27071143
,11.01.2011,0.236432853,0.291769453,0.265781509,0.270522943
,12.01.2011,0.227607086,0.251363097,0.265538514,0.270358742
,13.01.2011,0.218147627,0.290721615,0.26516452,0.270074542
,14.01.2011,0.219297517,0.290526901,0.26489962,0.2698083
,15.01.2011,0.226139078,0.290459843,0.264735749,0.269566374
,16.01.2011,0.232413254,0.290428529,0.26459749,0.269286405
,17.01.2011,0.236252708,0.290436277,0.26447157,0.269004064
,18.01.2011,0.239999129,0.290528976,0.264428741,0.268710684
,19.01.2011,0.242545676,0.290830691,0.264445215,0.268540502
,20.01.2011,0.243048978,0.290984567,0.264469615,0.268382084
,21.01.2011,0.243069943,0.291063662,0.264462995,0.268223078
,22.01.2011,0.243132079,0.291153169,0.264467889,0.268111295
,23.01.2011,0.243193266,0.291229845,0.26447121,0.268004602
,24.01.2011,0.243236031,0.291321134,0.264471214,0.267901371
,25.01.2011,0.243029073,0.291358855,0.264443623,0.267795808
,26.01.2011,0.243023054,0.291332532,0.264390006,0.267680904
,27.01.2011,0.243575798,0.291447668,0.264340972,0.267577098
,28.01.2011,0.244562048,0.291818899,0.264353106,0.267472995
,29.01.2011,0.246237164,0.292558305,0.264492044,0.267388479
,30.01.2011,0.246815625,0.293466751,0.264768645,0.267348343
,31.01.2011,0.245832018,0.293642592,0.265036319,0.267353822
,01.02.2011,0.244116647,0.293248842,0.265107796,0.267391551
,02.02.2011,0.239485686,0.292375428,0.264933494,0.267532981
,03.02.2011,0.224273386,0.291271638,0.264535868,0.267594736
,04.02.2011,0.215169378,0.290410084,0.26399886,0.26746614
,05.02.2011,0.214748748,0.289972646,0.263590916,0.267290246
,06.02.2011,0.218597223,0.289800669,0.263326646,0.267104798
,07.02.2011,0.220019505,0.289607494,0.26313861,0.266940183
,08.02.2011,0.218258705,0.28939092,0.262994179,0.266771266
,09.02.2011,0.2103323,0.288964773,0.262787014,0.266584343
,10.02.2011,0.196130026,0.288468791,0.262532064,0.26638084
,11.02.2011,0.187767226,0.288063686,0.262284692,0.266187611
,12.02.2011,0.186333083,0.287776552,0.262035391,0.265994412
,13.02.2011,0.189589225,0.287681871,0.261820901,0.265791474
,14.02.2011,0.194706714,0.287683433,0.261700426,0.265619501
,15.02.2011,0.200247556,0.287620455,0.26159159,0.26543241
,16.02.2011,0.2060669,0.287589582,0.261538572,0.265221243
,17.02.2011,0.214393206,0.28759823,0.261512391,0.264979199
,18.02.2011,0.225783596,0.287653189,0.26150615,0.26484283
,19.02.2011,0.233520382,0.287878267,0.261522091,0.26469282
,20.02.2011,0.243157203,0.288494776,0.261598462,0.264573213
,21.02.2011,0.244700639,0.28946345,0.261838408,0.264489555
,22.02.2011,0.244158411,0.289834979,0.262091823,0.264452566
,23.02.2011,0.244251427,0.290081242,0.262245747,0.264462253
,24.02.2011,0.24459244,0.290512711,0.262396029,0.264469841
,25.02.2011,0.244381054,0.29083771,0.262565553,0.264497994
,26.02.2011,0.243836398,0.290790019,0.262601749,0.264498705
,27.02.2011,0.24363226,0.290705879,0.262573418,0.264509084
,28.02.2011,0.243736538,0.290751056,0.262536202,0.264526413
,01.03.2011,0.2445616,0.291005773,0.262553253,0.264496001
,02.03.2011,0.243875576,0.291979565,0.262687719,0.264473583
,03.03.2011,0.244053705,0.293065588,0.26303011,0.264441757
,04.03.2011,0.246056656,0.294450673,0.263512967,0.264489357
,05.03.2011,0.245081356,0.295204706,0.26403526,0.264585766
,06.03.2011,0.243868635,0.294941191,0.26426967,0.264717498
,07.03.2011,0.243380332,0.294679653,0.264336961,0.264896336
,08.03.2011,0.242310314,0.294199643,0.264262411,0.264987729
,09.03.2011,0.242287015,0.293743119,0.264077632,0.265016022
,10.03.2011,0.243683552,0.294006307,0.263981753,0.265032778
,11.03.2011,0.246684611,0.295193763,0.26409483,0.264997942
,12.03.2011,0.24904171,0.296795239,0.264549919,0.264997727
,13.03.2011,0.25098117,0.298092262,0.26511093,0.265063162
,14.03.2011,0.252082346,0.299317757,0.265692421,0.265204622
,15.03.2011,0.253090727,0.300036743,0.266173495,0.265384177
,16.03.2011,0.254639695,0.301094666,0.266645969,0.265580327
,17.03.2011,0.258283875,0.302121488,0.2671314,0.265825498
,18.03.2011,0.263642167,0.303590334,0.267728842,0.266108903
,19.03.2011,0.263572831,0.304434159,0.268322556,0.266382202
,20.03.2011,0.263495807,0.305045728,0.268771866,0.266667052
,21.03.2011,0.266417824,0.30583692,0.269213235,0.267001322
,22.03.2011,0.271708198,0.306920921,0.269678777,0.26732157
,23.03.2011,0.270983419,0.307764026,0.270243924,0.267663385
,24.03.2011,0.27012965,0.308046423,0.270659337,0.2680207
,25.03.2011,0.267742734,0.307685869,0.27088046,0.26836746
,26.03.2011,0.267357901,0.307275431,0.270888776,0.268658052
,27.03.2011,0.267485595,0.307362331,0.27089508,0.268899549
,28.03.2011,0.26739591,0.307358924,0.270967775,0.269089932
