@T,C1C2C3,,,,
descr,average observed soil water content at probe C1 C2 C3 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1584.333333,,,
x,,513547,,,
y,,4494896.333,,,
,30.04.2003,0.319127973,0.180314619,0.108530938,0.117958615
,01.05.2003,0.316237902,0.179735157,0.113432551,0.118373939
,02.05.2003,0.315044792,0.178934218,0.117651553,0.118689373
,03.05.2003,0.317047945,0.179673702,0.133723077,0.118871996
,04.05.2003,0.318287222,0.181800822,0.124798047,0.119146248
,05.05.2003,0.316185133,0.183246655,0.128038936,0.119608177
,06.05.2003,0.314531528,0.184299243,0.130469845,0.120048507
,07.05.2003,0.313776059,0.185794602,0.132300607,0.120360756
,08.05.2003,0.313299857,0.18775937,0.133788894,0.120598479
,09.05.2003,0.310973315,0.189517769,0.134970785,0.12082865
,10.05.2003,0.322496765,0.192487299,0.135585326,0.121004555
,11.05.2003,0.333419959,0.204416356,0.137378962,0.120946142
,12.05.2003,0.329610877,0.231303704,0.148014717,0.120522428
,13.05.2003,0.329320329,0.251564752,0.151821773,0.120106973
,14.05.2003,0.329226402,0.264290402,0.153176027,0.119988351
,15.05.2003,0.329814421,0.273046146,0.154052142,0.12020852
,16.05.2003,0.32963431,0.27865332,0.154927555,0.120696657
,17.05.2003,0.330770336,0.283028881,0.155747666,0.121323754
,18.05.2003,0.330813072,0.286569733,0.156700458,0.122084595
,19.05.2003,0.328491381,0.288551755,0.157516761,0.122963128
,20.05.2003,0.324677648,0.287853804,0.157723607,0.123735511
,21.05.2003,0.324268517,0.286711199,0.157147766,0.124193369
,22.05.2003,0.326581477,0.287336417,0.156745512,0.124405777
,23.05.2003,0.3281531,0.289037664,0.157087825,0.124702267
,24.05.2003,0.328933803,0.290867935,0.157934843,0.125246548
,25.05.2003,0.328337922,0.291881758,0.158979696,0.125996744
,26.05.2003,0.327916087,0.292342772,0.159969211,0.126786365
,27.05.2003,0.327597004,0.29255348,0.161025587,0.127537474
,28.05.2003,0.329318528,0.293383727,0.162341915,0.128250024
,29.05.2003,0.330718892,0.294882829,0.164242015,0.129028169
,30.05.2003,0.331483989,0.296432659,0.166618738,0.130004248
,31.05.2003,0.329569004,0.297106568,0.169165517,0.131135256
,01.06.2003,0.327976437,0.296350139,0.171304895,0.132290899
,02.06.2003,0.326786152,0.295325959,0.173045437,0.133318001
,03.06.2003,0.326133923,0.294597178,0.174622527,0.134270976
,04.06.2003,0.324196619,0.293599455,0.176172343,0.13525928
,05.06.2003,0.32318036,0.291669133,0.177360851,0.136297515
,06.06.2003,0.323244937,0.290513173,0.178118252,0.13724907
,07.06.2003,0.32516426,0.290299857,0.179029968,0.138093022
,08.06.2003,0.327039971,0.291290993,0.180334747,0.138936307
,09.06.2003,0.329509816,0.293406442,0.182442532,0.139912828
,10.06.2003,0.330068527,0.295233411,0.185303013,0.141227622
,11.06.2003,0.331663204,0.296905369,0.188340449,0.142881582
,12.06.2003,0.332042263,0.298464215,0.191593815,0.144970114
,13.06.2003,0.33221601,0.299512495,0.194763014,0.147631059
,14.06.2003,0.332357509,0.300102801,0.19765849,0.150918261
,15.06.2003,0.333153535,0.300830661,0.200220971,0.154688999
,16.06.2003,0.334133411,0.301899835,0.202497289,0.158684063
,17.06.2003,0.334008051,0.302740947,0.204646399,0.162558867
,18.06.2003,0.332752363,0.302808486,0.206414415,0.165995728
