@T,climate,,,,,,,
name,rhum.csv,,,,,,,
descr,relative humidity,,,,,,,
,,,,,,,,
missing_val,-9999,,,,,,,
date_start,01.01.1980,,,,,,,
date_end,30.04.2015,,,,,,,
date_format,dd.MM.yyyy,,,,,,,
,,,,,,,,
unit,%,,,,,,,
tres,d,,,,,,,
,,,,,,,,
@H,date,rehum[0],rehum[2],rehum[3],rehum[4],rhum[5],rhum[6],rhum[7]
name,-,IASF901,Cedar Rapids-A131329,WATERLOO MUNICIPAL AIRPORT IA US,MARSHALLTOWN MUNICIPAL AIRPORT IA US,Ames-Airport,ESTHERVILLE MUNICIPAL AIRPORT IA US,MASON CITY MUNICIPAL AIRPORT IA US
ID,-,1,3,4,5,6,7,8
elevation,-,347.81,240,268,296.9,280,401.4,367
,23.03.1980,-9999,-9999,76.77,-9999,-9999,-9999,79.23
,24.03.1980,-9999,-9999,73.37,-9999,-9999,-9999,73.84
,25.03.1980,-9999,-9999,69.31,-9999,-9999,-9999,72.29
,26.03.1980,-9999,-9999,77.28,-9999,-9999,-9999,84.12
,27.03.1980,-9999,-9999,71.51,-9999,-9999,-9999,78.73
,28.03.1980,-9999,-9999,77.73,-9999,-9999,-9999,86.42
,29.03.1980,-9999,-9999,82.98,-9999,-9999,-9999,83.58
,30.03.1980,-9999,-9999,69.41,-9999,-9999,-9999,71.27
,31.03.1980,-9999,-9999,52.89,-9999,-9999,-9999,59.54
,01.04.1980,-9999,-9999,70.34,-9999,-9999,-9999,73.38
,02.04.1980,-9999,-9999,80.59,-9999,-9999,-9999,75.8
,03.04.1980,-9999,-9999,88.73,-9999,-9999,-9999,90.95
,04.04.1980,-9999,-9999,58.78,-9999,-9999,-9999,70.3
,05.04.1980,-9999,-9999,54.16,-9999,-9999,-9999,63.62
,06.04.1980,-9999,-9999,65.41,-9999,-9999,-9999,69.46
,07.04.1980,-9999,-9999,64.14,-9999,-9999,-9999,74.06
,08.04.1980,-9999,-9999,86.48,-9999,-9999,-9999,79.61
,09.04.1980,-9999,-9999,77.05,-9999,-9999,-9999,69.15
,10.04.1980,-9999,-9999,71.79,-9999,-9999,-9999,63.9
,11.04.1980,-9999,-9999,72.33,-9999,-9999,-9999,62.56
,12.04.1980,-9999,-9999,56.41,-9999,-9999,-9999,57.8
,13.04.1980,-9999,-9999,58.52,-9999,-9999,-9999,62.86
,14.04.1980,-9999,-9999,62.59,-9999,-9999,-9999,56.61
