@T,crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,crop.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
descr,default crop input parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@H,CID,IDC,CPNM,CPDESC,PHU,BIO_E,HVSTI,BLAI,FRGRW1,LAIMX1,FRGRW2,LAIMX2,DLAI,CHTMX,RDMX,T_OPT,T_BASE,CNYLD,CPYLD,PLTNFR1,PLTNFR2,PLTNFR3,PLTPFR1,PLTPFR2,PLTPFR3,WSYF,GSI,VPDFR,FRGMAX,WAVP,CO2HI,BIOEHI,RSDCO_PL,ALAI_MIN,ENDBION,MAXFERT,BION20,BION40,BION60,BION80,CFACTOR
,95,7,OAK,Oak,1600,15,0.76,5,0.05,0.05,0.4,0.95,0.99,6,3.5,30,10,0,0,0.01,0,0,0,0,0,0.01,0,4,0.75,8,660,16,0.05,1,0,0,2,20,70,120,0.2
,96,7,POPL,Poplar,1600,30,0.76,5,0.05,0.05,0.4,0.95,0.99,7.5,3.5,30,10,0,0,0.01,0,0,0,0,0,0.01,0,4,0.75,8,660,31,0.05,1,0,0,2,20,70,120,0.2
,97,5,WBAR,Winter-Barley,2100,30,0.7,2.1,0.15,0.01,0.8,0.95,0.81,0.9,1,15,0,0.02,0,0.04,0.02,0.011,0,0,0,0.01,0.01,4,0.75,8,660,18,0.05,1,170,106.5,2,20,70,120,0.21
,98,1,URBA,Urban-Areas,700,15,0.9,7.2,0.1,0.5,0.5,0.99,0.99,0.9,0.8,21,2.5,0.02,0,0.06,0.02,0.01,0.01,0,0,0.9,0.01,4,0.75,10,660,36,0.05,1,105,52.5,2,20,70,120,0.0001
,99,5,PHAC,Phacelia,1600,20,0.35,5,0.15,0.01,0.5,0.95,0.75,1.1,1.4,21,2,0.033,0.01,0.07,0.06,0.03,0.02,0,0,0.25,0,4,0.75,3,660,39,0.05,1,231,115.5,2,20,70,120,0.2
,100,5,YMUS,Yellow-Mustard,1550,20,0.45,5,0.15,0.01,0.5,0.95,0.75,1.1,1.4,21,2,0.033,0.01,0.07,0.06,0.025,0.02,0,0,0.25,0,4,0.75,3,660,39,0.05,1,260,145.2,5,70,140,190,0.2
,101,4,HMEL,Honeydew-Melon,1600,30,0.55,4,0.15,0.05,0.5,0.95,0.9,0.5,1.2,35,16,0.0071,0.001,0.007,0.004,0.002,0.0026,0.002,0.0017,0.25,0.0065,4,0.75,3,660,39,0.05,0,200,100,2,20,70,120,0.2
,102,4,WMEL,Watermelon,1600,30,0.5,1.5,0.15,0.05,0.5,0.95,0.9,0.5,2,35,18,0.0117,0.0011,0.0663,0.0075,0.0048,0.0053,0.0025,0.0012,0.25,0.0065,4,0.75,3,660,39,0.05,0,200,100,2,20,70,120,0.2
,103,7,MESQ,Honey-Mesquite,1600,16.1,0.05,1.25,0.05,0.05,0.4,0.95,0.99,6,3.5,30,10,0.0015,0.0003,0.02,0.01,0.008,0.0007,0.0004,0.0003,0.01,0.0036,4,0.75,8,660,18,0.05,0.75,200,100,2,20,70,120,0.2
,104,6,GRAP,Vineyard-Grapes,1600,14,0.02,2,0.05,0.01,0.5,0.95,0.9,2,2,30,10,0.0053,0.0092,0.0024,0.0008,0.0006,0.0003,0.0002,0.0001,0.01,0.005,1.1,0.75,8,660,40,0.05,0.01,200,100,2,20,70,120,0.4
,105,7,OILP,Oil-Palm,1600,12,0.18,5,0.1,0.15,0.5,0.75,0.99,3.5,2,20,7,0.0019,0.0004,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.05,0.0071,4,0.75,3,660,20,0.05,0.75,200,100,2,20,70,120,0.2
,106,7,RUBR,Rubber-Trees,1600,5.6,0.9,4.5,0.1,0.15,0.5,0.75,0.99,3.5,2,20,7,0.0019,0.0004,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.05,0.0071,4,0.75,3,660,20,0.05,0.75,200,100,2,20,70,120,0.2
,107,7,BANA,Bananas,1600,30,0.44,4.5,0.05,0.05,0.4,0.95,0.99,7.5,3.5,30,10,0.0064,0.0008,0.06,0.032,0.016,0.003,0.002,0.001,0.01,0.0036,4,0.75,8,660,31,0.05,0.75,200,100,2,20,70,120,0.2
,108,5,TEFF,Eragrostis-Teff,1600,35,0.23,3,0.15,0.05,0.5,0.95,0.9,0.9,2,18,0,0.0234,0.0033,0.06,0.0231,0.0134,0.0084,0.0032,0.0019,0.2,0.0056,4,0.75,8,660,46,0.05,0,200,100,2,20,70,120,0.2
,109,7,COFF,Coffee,1600,10,0.15,1.35,0.05,0.05,0.4,0.95,0.99,2,2,30,10,0.0015,0.0003,0.02,0.01,0.008,0.0007,0.0004,0.0003,0.01,0.0036,4,0.75,8,660,18,0.05,0.75,200,100,2,20,70,120,0.2
,110,1,PTBN,Pinto-Beans,1600,25,0.3,1.5,0.15,0.05,0.5,0.95,0.9,0.8,1.7,25,10,0.065,0.0091,0.0524,0.0265,0.0258,0.0074,0.0037,0.0035,0.01,0.0071,4,0.75,8,660,34,0.05,0,200,100,2,20,70,120,0.2
,111,7,ALMD,Almonds,1600,16.1,0.05,1.2,0.05,0.05,0.4,0.95,0.99,6,3.5,30,10,0.0015,0.0003,0.02,0.01,0.008,0.0007,0.0004,0.0003,0.01,0.0036,4,0.75,8,660,18,0.05,0.75,200,100,2,20,70,120,0.2
,112,7,GRAR,Grarigue,1600,16.1,0.05,2,0.05,0.05,0.4,0.95,0.99,6,3.5,30,10,0.0015,0.0003,0.02,0.01,0.008,0.0007,0.0004,0.0003,0.01,0.0036,4,0.75,8,660,18,0.05,0.75,200,100,2,20,70,120,0.2
,113,7,OLIV,Olives,1600,14,0.05,4.5,0.05,0.05,0.4,0.95,0.99,6,3.5,30,10,0.0097,0.004,0.0024,0.0008,0.0006,0.0003,0.0002,0.0001,0.01,0.0036,4,0.75,8,660,18,0.05,0.75,200,100,2,20,70,120,0.2
,114,7,COCO,Coconut,1600,24,0.56,5,0.15,0.7,0.25,0.99,0.99,10,3.5,30,0,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.0019,4,0.75,8,660,16,0.05,0.75,200,100,2,20,70,120,0.2
,115,7,CASH,Cashews,1600,15,0.15,4,0.1,0.15,0.5,0.75,0.99,3.5,2,20,7,0.0019,0.0004,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.05,0.0071,4,0.75,3,660,20,0.05,0.75,200,100,2,20,70,120,0.2
,116,7,PAPA,Papayas,1600,30,0.44,4.5,0.05,0.05,0.4,0.95,0.99,7.5,3.5,30,10,0.5,0.0008,0.06,0.032,0.016,0.003,0.002,0.001,0.01,0.0036,4,0.75,8,660,31,0.05,0.75,200,100,2,20,70,120,0.2
,117,7,PINP,Pineapple,1600,30,0.7,4,0.05,0.05,0.4,0.95,0.99,1,3.5,30,10,0.0064,0.0008,0.06,0.032,0.016,0.003,0.002,0.001,0.01,0.0036,4,0.75,8,660,31,0.05,0.75,200,100,2,20,70,120,0.2
,118,7,PLAN,Plaintains,1600,30,0.44,4.5,0.05,0.05,0.4,0.95,0.99,7.5,3.5,30,10,0.0064,0.0008,0.06,0.032,0.016,0.003,0.002,0.001,0.01,0.0036,4,0.75,8,660,31,0.05,0.75,200,100,2,20,70,120,0.2
,119,7,PEPR,Peppers,1600,30,0.6,2,0.15,0.05,0.5,0.95,0.6,0.8,1.1,27,18,0.003,0.002,0.06,0.035,0.025,0.0053,0.002,0.0012,0.3,0.007,0.5,0.75,8,660,39,0.05,0,200,100,2,20,70,120,0.2
,120,7,WILL,Willow,1600,30,0.76,5,0.05,0.05,0.4,0.95,0.99,7.5,3.5,30,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.0036,4,0.75,8,660,31,0.05,0.75,200,100,2,20,70,120,0.2
