@T,crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,crop.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
descr,default crop input parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@H,CID,IDC,CPNM,CPDESC,PHU,BIO_E,HVSTI,BLAI,FRGRW1,LAIMX1,FRGRW2,LAIMX2,DLAI,CHTMX,RDMX,T_OPT,T_BASE,CNYLD,CPYLD,PLTNFR1,PLTNFR2,PLTNFR3,PLTPFR1,PLTPFR2,PLTPFR3,WSYF,GSI,VPDFR,FRGMAX,WAVP,CO2HI,BIOEHI,RSDCO_PL,ALAI_MIN,ENDBION,MAXFERT,BION20,BION40,BION60,BION80,CFACTOR
,33,5,WIRY,Winter-Rye,1600,35,0.45,6,0.15,0.01,0.8,0.95,0.81,1,1.2,12.5,0,0.01,0,0.05,0.02,0.01,0.01,0,0,0.25,0.01,4,0.75,5,660,31,0.05,1,122.5,61.25,2,20,70,120,0.21
,34,4,PMIL,Pearl-Millet(Hirse),1600,35,0.25,2.5,0.15,0.01,0.5,0.95,0.85,3,2,30,10,0.02,0,0.04,0.03,0.01,0.01,0,0,0.1,0.01,4,0.75,8,660,40,0.05,1,245,122.5,2,20,70,120,0.2
,35,6,TIMO,Timothy,1600,35,0.9,4,0.15,0.01,0.5,0.95,0.85,0.8,2,25,8,0.02,0,0.03,0.01,0.01,0,0,0,0.9,0.01,4,0.75,8,660,45,0.05,2,245,122.5,2,20,70,120,0.1
,36,6,BROS,Smooth-Bromegrass,1600,35,0.9,5,0.15,0.01,0.5,0.95,0.85,1.2,2,25,8,0.02,0,0.04,0.02,0.02,0,0,0,0.9,0,4,0.75,8,660,45,0.05,2,245,122.5,2,20,70,120,0.1
,37,6,BROM,Meadow-Bromegrass,1600,35,0.9,3,0.45,0.02,0.8,0.95,0.85,0.8,1.3,25,6,0.02,0,0.04,0.02,0.02,0,0,0,0.9,0.01,4,0.75,8,660,45,0.05,2,245,122.5,2,20,70,120,0.1
,38,6,FESC,Tall-Fescue,1600,30,0.9,4,0.15,0.01,0.5,0.95,0.8,1.5,2,15,0,0.02,0,0.06,0.02,0.01,0.01,0,0,0.9,0.01,4,0.75,8,660,39,0.05,2,210,105,2,20,70,120,0.1
,39,6,BLUG,Kentucky-Bluegrass,1600,18,0.9,2,0.05,0.05,0.3,0.7,0.35,0.2,1.4,25,12,0.02,0,0.02,0.01,0.01,0,0,0,0.9,0.01,4,0.75,10,660,31,0.05,2,126,63,2,20,70,120,0.1
,40,6,BERM,Bermudagrass,1600,35,0.9,4,0.05,0.05,0.49,0.95,0.99,0.5,2,25,12,0.02,0,0.06,0.02,0.01,0.01,0,0,0.9,0.01,4,0.75,10,660,36,0.05,2,245,122.5,2,20,70,120,0.1
,41,6,CWGR,Crested-Wheatgrass,1600,35,0.9,4,0.35,0.02,0.62,0.95,0.85,0.9,1.3,25,6,0.05,0,0.03,0.02,0.01,0,0,0,0.9,0.01,4,0.75,8,660,38,0.05,2,612.5,306.25,2,20,70,120,0.1
,42,6,WWGR,Western-Wheatgrass,1600,35,0.9,4,0.5,0.02,0.89,0.95,0.85,0.6,1.3,25,6,0.05,0,0.03,0.02,0.01,0,0,0,0.9,0.01,4,0.75,8,660,45,0.05,2,612.5,306.25,2,20,70,120,0.1
,43,6,SWGR,Slender-Wheatgrass,1600,35,0.9,4,0.15,0.01,0.5,0.95,0.85,0.7,2,25,8,0.05,0,0.03,0.02,0.01,0,0,0,0.9,0.01,4,0.75,8,660,45,0.05,2,612.5,306.25,2,20,70,120,0.1
,44,5,RYEG,Italian-(Annual)-Ryegrass,1600,30,0.9,4,0.2,0.32,0.45,0.95,0.5,0.8,1.3,18,0,0.02,0,0.07,0.03,0.01,0.01,0,0,0.9,0.01,4,0.75,6,660,39,0.05,1,210,105,2,20,70,120,0.1
,45,6,RYER,Russian-Wildrye,1600,30,0.9,3,0.35,0.02,0.62,0.95,0.8,1,1.3,15,0,0.02,0,0.02,0.02,0.01,0,0,0,0.9,0.01,4,0.75,8,660,39,0.05,2,210,105,2,20,70,120,0.2
,46,6,RYEA,Altai-Wildrye,1600,30,0.9,3,0.35,0.02,0.62,0.95,0.8,1.1,1.3,15,0,0.02,0,0.02,0.02,0.01,0,0,0,0.9,0.01,4,0.75,8,660,46,0.05,2,210,105,2,20,70,120,0.2
,47,6,SIDE,Sideoats-Grama,1600,11,0.9,1.7,0.05,0.05,0.3,0.7,0.35,0.4,1.4,25,12,0.02,0,0.02,0.01,0.01,0,0,0,0.9,0.01,4,0.75,10,660,21,0.05,2,77,38.5,2,20,70,120,0.2
