@T,soils,,,,,,,,,,,
name,soils_hor.csv,,,,,,,,,,,
descr,soil input parameters by horizon,,,,,,,,,,,
,,,,,,,,,,,,
@H,SID,depth,aircapacity,fieldcapacity,deadcapacity,kf,bulk_density,corg,root,kvalue,A_skel,p_content
min,1,0,0,0,0,0,0,0,0,0,0,0
max,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,100,500
unit,n/a,cm,Vol.%,Vol.%,Vol.%,cm/d,g/cm,%,n/a,n/a,%,mg/100g_soil
,4203,48,0.405,0.258,0.13,20.424,1.58,0.44,1,0.32,2,10
,4204,63,0.394,0.233,0.105,26.952,1.61,0.15,1,0.37,4,10
,4301,18,0.435,0.27,0.137,27.84,1.5,1.57,1,0.28,2,10
,4302,23,0.417,0.263,0.133,23.328,1.54,0.87,1,0.32,2,10
,4304,48,0.405,0.258,0.13,20.424,1.58,0.44,1,0.32,2,10
,4304,63,0.394,0.233,0.105,26.952,1.61,0.15,1,0.37,4,10
,4401,23,0.43,0.253,0.119,35.304,1.51,1.45,1,0.32,2,10
,4402,13,0.43,0.253,0.119,35.304,1.51,1.45,1,0.32,2,10
,4403,73,0.415,0.292,0.165,11.736,1.55,0.44,1,0.37,2,10
,4404,50,0.4,0.255,0.128,19.344,1.59,0.15,1,0.28,2,10
,4501,23,0.43,0.253,0.119,35.304,1.51,1.45,1,0.32,2,10
,4502,13,0.43,0.253,0.119,35.304,1.51,1.45,1,0.32,2,10
,4503,73,0.415,0.292,0.165,11.736,1.55,0.44,1,0.37,2,10
,4504,50,0.4,0.255,0.128,19.344,1.59,0.15,1,0.28,2,10
,4601,41,0.452,0.278,0.141,32.616,1.45,2.33,1,0.24,3,10
,4602,23,0.411,0.23,0.098,37.056,1.56,0.87,1,0.37,9,10
,4603,88,0.42,0.053,0.017,262.416,1.54,0.15,1,0.2,17,10
,4701,41,0.452,0.278,0.141,32.616,1.45,2.33,1,0.24,3,10
,4702,23,0.411,0.23,0.098,37.056,1.56,0.87,1,0.37,9,10
,4703,88,0.42,0.053,0.017,262.416,1.55,0.15,1,0.2,17,10
,4801,58,0.452,0.278,0.141,32.616,1.45,2.33,1,0.24,3,10
,4802,36,0.421,0.277,0.144,18.336,1.53,0.87,1,0.28,6,10
,4803,58,0.422,0.054,0.018,269.352,1.53,0.29,1,0.17,14,10
,4901,58,0.452,0.278,0.141,32.616,1.45,2.33,1,0.24,3,10
,4902,36,0.421,0.277,0.144,18.336,1.53,0.87,1,0.28,6,10
,4903,58,0.422,0.054,0.018,269.352,1.53,0.29,1,0.17,14,10
,5001,102,0.516,0.365,0.198,21.768,1.28,3.49,1,0.24,0.01,10
,5002,50,0.407,0.248,0.119,25.752,1.57,0.58,1,0.28,3,10
,5101,102,0.516,0.365,0.198,21.768,1.28,3.49,1,0.24,0.01,10
,5102,50,0.407,0.248,0.119,25.752,1.57,0.58,1,0.28,3,10
,5201,71,0.627,0.387,0.2,82.56,0.99,20.35,1,0.28,0.01,10
,5202,81,0.627,0.387,0.2,82.56,0.99,20.35,1,0.28,0.01,10
,5301,18,0.437,0.271,0.138,28.296,1.49,1.74,1,0.28,3,10
,5302,79,0.41,0.26,0.131,21.36,1.56,0.56,1,0.28,3,10
,5303,55,0.427,0.317,0.182,8.184,1.52,0.44,1,0.28,3,10
,5304,51,0.394,0.233,0.105,26.952,1.61,0.15,1,0.37,4,10
,5401,18,0.437,0.271,0.138,28.296,1.49,1.74,1,0.28,3,10
,5402,79,0.41,0.26,0.131,21.36,1.56,0.56,1,0.28,3,10
,5403,55,0.427,0.317,0.182,8.184,1.52,0.44,1,0.28,3,10
,5404,51,0.394,0.233,0.105,26.952,1.61,0.15,1,0.37,4,10
,5501,18,0.437,0.271,0.138,28.296,1.49,1.74,1,0.28,3,10
,5502,79,0.41,0.26,0.131,21.36,1.56,0.56,1,0.28,3,10
,5503,55,0.427,0.317,0.182,8.184,1.52,0.44,1,0.28,3,10
,5504,51,0.394,0.233,0.105,26.952,1.61,0.15,1,0.37,4,10
,5601,18,0.437,0.271,0.138,28.296,1.49,1.74,1,0.28,3,10
,5602,79,0.41,0.26,0.131,21.36,1.56,0.56,1,0.28,3,10
,5603,55,0.427,0.317,0.182,8.184,1.52,0.44,1,0.28,3,10
,5604,51,0.394,0.233,0.105,26.952,1.61,0.15,1,0.37,4,10
,5701,18,0.437,0.271,0.138,28.296,1.49,1.74,1,0.28,3,10
,5702,79,0.41,0.26,0.131,21.36,1.56,0.56,1,0.28,3,10
,5703,55,0.427,0.317,0.182,8.184,1.52,0.44,1,0.28,3,10
,5704,51,0.394,0.233,0.105,26.952,1.61,0.15,1,0.37,4,10
,5801,81,0.446,0.281,0.145,27.864,1.47,2.03,1,0.24,2,10
,5802,71,0.406,0.271,0.141,15.912,1.57,0.29,1,0.32,3,10
,5901,43,0.411,0.185,0.098,66.216,1.56,1.16,1,0.2,3,10
,5902,36,0.391,0.158,0.078,74.328,1.61,0.29,1,0.2,3,10
,5903,73,0.42,0.053,0.017,279.168,1.54,0.15,1,0.32,11,10
,6001,43,0.454,0.305,0.127,23.112,1.45,1.74,1,0.37,3,10
,6002,51,0.449,0.294,0.156,23.064,1.46,2.03,1,0.24,2,10
,6003,23,0.433,0.319,0.184,9.12,1.5,0.73,1,0.32,2,10
,6004,86,0.408,0.282,0.152,12.792,1.57,0.15,1,0.32,3,10
