@T,obs,,,,,
descr,observed runoff at Drake,,,,,
unit,m3/s  //  mg/l  //  mg/l ,,,,,
,,,,,,
missing_val,-9999,,,,,
date_start,09.01.2001,,,,,
date_end,31.12.2013,,,,,
date_format,dd.MM.yyyy,,,,,
,,,,,,
@H,date,orun[1],no3_n[1],sedim[1],no3_n[2],no3_n[3]
name,-,SF450,SF450,SF450,SF450,SF450
ID,-,1,2,3,4,5
elevation,-,289,289,289,289,289
,19.06.2008,26.84437058,7.96,-9999,8,-9999
,20.06.2008,23.61625006,7.8,-9999,7.8,-9999
,21.06.2008,20.69961486,7.66,-9999,7.6,-9999
,22.06.2008,18.00951444,7.88,-9999,7.9,-9999
,23.06.2008,15.8574341,8.06,-9999,8,-9999
,24.06.2008,14.24337384,8.49,-9999,8.6,-9999
,25.06.2008,13.05406628,8.39,-9999,8.3,-9999
,26.06.2008,12.71426412,8.62,-9999,8.7,-9999
,27.06.2008,11.92139242,8.56,-9999,8.5,-9999
,28.06.2008,11.35505549,8.75,-9999,8.8,-9999
,29.06.2008,10.93030279,8.74,-9999,8.7,-9999
,30.06.2008,9.854262617,8.95,-9999,8.9,-9999
,01.07.2008,8.834856139,9.35,-9999,9.5,-9999
,02.07.2008,8.268519207,9.05,-9999,8.9,-9999
,03.07.2008,7.730499122,9.42,-9999,9.5,-9999
,04.07.2008,7.220795883,9.44,-9999,9.5,-9999
,05.07.2008,6.852676877,8.99,-9999,9,-9999
,06.07.2008,6.512874718,8.36,-9999,8.4,-9999
,07.07.2008,6.371290485,7.54,-9999,7.5,-9999
,08.07.2008,6.229706252,7.04,-9999,6.9,-9999
,09.07.2008,24.63565654,6.07,-9999,4.925,-9999
,10.07.2008,20.69961486,6.22,-9999,6.633333333,-9999
,11.07.2008,11.18515441,8.68,-9999,8.8,-9999
,12.07.2008,10.61881748,8.52,-9999,8.5,-9999
,13.07.2008,9.429509918,9.09,-9999,9.3,-9999
,14.07.2008,7.702182275,8.38,-9999,8.4,-9999
,15.07.2008,6.767726337,8.5,-9999,8.9,-9999
,16.07.2008,6.116438866,6.76,-9999,6.2,-9999
,17.07.2008,8.863172986,6.01,-9999,5.725,-9999
,18.07.2008,40.20992217,5.23,-9999,5.325,-9999
,19.07.2008,50.97032388,7.47,-9999,7.22,-9999
,20.07.2008,41.6257645,7.85,-9999,7.65,-9999
,21.07.2008,29.73268893,8.58,-9999,8.75,-9999
,22.07.2008,23.41803214,9.45,-9999,9.6,-9999
,23.07.2008,17.16000904,10.16,-9999,-9999,-9999
,24.07.2008,13.39386844,9.96,-9999,9.9,-9999
,25.07.2008,11.21347125,10.06,-9999,10.1,-9999
,26.07.2008,9.599410997,9.94,-9999,10,-9999
,27.07.2008,8.353469747,9.42,-9999,9.4,-9999
,28.07.2008,7.645548582,8.95,-9999,9,-9999
,29.07.2008,6.626142104,8.25,-9999,8.2,-9999
,30.07.2008,5.889904093,7.84,-9999,7.8,-9999
,31.07.2008,5.295250314,7.7,-9999,-9999,-9999
,01.08.2008,4.842180769,7.56,-9999,7.6,-9999
,02.08.2008,4.41742807,7.24,-9999,7.2,-9999
,03.08.2008,3.936041677,7.01,-9999,7.1,-9999
,04.08.2008,3.454655285,6.4,-9999,6.3,-9999
,05.08.2008,3.199803666,6.35,-9999,6.3,-9999
,06.08.2008,2.973268893,6.66,-9999,6.7,-9999
,07.08.2008,2.860001507,6.69,-9999,6.8,-9999
,08.08.2008,2.66178358,6,-9999,6,-9999
,09.08.2008,2.491882501,5.26,-9999,5.2,-9999
,10.08.2008,2.237030881,4.92,-9999,4.9,-9999
,11.08.2008,2.010496109,4.78,-9999,4.8,-9999
,12.08.2008,1.897228722,4.92,-9999,5.05,-9999
,13.08.2008,1.812278182,4.39,-9999,4.3,-9999
,14.08.2008,1.727327643,3.74,-9999,3.7,-9999
,15.08.2008,1.670693949,3.4,-9999,3.4,-9999
,16.08.2008,1.58574341,3.1,-9999,3.1,-9999
,17.08.2008,1.50079287,2.81,-9999,2.8,-9999
,18.08.2008,1.444159177,2.61,-9999,2.6,-9999
,19.08.2008,1.387525483,2.49,-9999,2.5,-9999
,20.08.2008,1.302574944,2.29,-9999,2.3,-9999
,21.08.2008,1.274258097,2.09,-9999,2,-9999
,22.08.2008,1.217624404,2.31,-9999,2.4,-9999
,23.08.2008,1.132673864,2.14,-9999,2.1,-9999
,24.08.2008,1.047723324,2.1,-9999,2.1,-9999
,25.08.2008,0.877822245,2.06,-9999,2.1,-9999
,26.08.2008,0.849505398,1.84,-9999,1.8,-9999
,27.08.2008,0.849505398,1.8,-9999,1.8,-9999
,28.08.2008,1.104357017,1.65,-9999,1.8,-9999
,29.08.2008,1.33089179,0.84,-9999,0.6,-9999
,30.08.2008,1.189307557,1.1,-9999,1.3,-9999
,31.08.2008,0.962772784,0.52,-9999,0.4,-9999
,01.09.2008,0.764554858,0.54,-9999,0.5,-9999
,02.09.2008,0.622970625,0.85,-9999,0.9,-9999
,03.09.2008,0.566336932,0.94,-9999,0.9,-9999
,04.09.2008,0.566336932,1.15,-9999,1.2,-9999
,05.09.2008,0.566336932,1.12,-9999,1.1,-9999
,06.09.2008,0.538020085,1.18,-9999,1.2,-9999
,07.09.2008,0.538020085,1.11,-9999,1.1,-9999
,08.09.2008,0.538020085,1.05,-9999,-9999,-9999
,09.09.2008,0.538020085,1.04,-9999,1.05,-9999
,10.09.2008,0.509703239,0.99,-9999,1,-9999
,11.09.2008,0.509703239,0.85,-9999,-9999,-9999
,12.09.2008,0.509703239,0.73,-9999,0.7,-9999
,13.09.2008,0.594653779,0.78,-9999,0.8,-9999
,14.09.2008,0.538020085,0.72,-9999,0.7,-9999
,15.09.2008,0.481386392,0.76,-9999,0.8,-9999
,16.09.2008,0.424752699,0.61,-9999,0.6,-9999
,17.09.2008,0.424752699,0.54,-9999,0.5,-9999
,18.09.2008,0.396435852,0.68,-9999,0.7,-9999
,19.09.2008,0.368119006,0.66,-9999,0.7,-9999
,20.09.2008,0.368119006,0.45,-9999,0.4,-9999
,21.09.2008,0.339802159,0.48,-9999,0.5,-9999
,22.09.2008,0.339802159,0.41,-9999,0.4,-9999
,23.09.2008,0.339802159,0.4,-9999,0.4,-9999
,24.09.2008,0.396435852,0.4,-9999,0.4,-9999
,25.09.2008,0.368119006,0.4,-9999,0.4,-9999
,26.09.2008,0.339802159,0.39,-9999,0.4,-9999
,27.09.2008,0.311485313,0.31,-9999,0.3,-9999
,28.09.2008,0.311485313,0.3,-9999,0.3,-9999
,29.09.2008,0.368119006,0.3,-9999,0.3,-9999
,30.09.2008,0.368119006,0.31,-9999,0.3,-9999
,01.10.2008,0.339802159,0.38,-9999,0.4,-9999
,02.10.2008,0.339802159,0.31,-9999,0.3,-9999
,03.10.2008,0.339802159,0.3,-9999,0.3,-9999
,04.10.2008,0.311485313,0.3,-9999,0.3,-9999
,05.10.2008,0.311485313,0.3,-9999,0.3,-9999
,06.10.2008,0.283168466,0.31,-9999,0.3,-9999
,07.10.2008,0.594653779,0.27,-9999,0.233333333,-9999
,08.10.2008,0.934455938,0.29,-9999,0.425,-9999
,09.10.2008,0.906139091,0.91,-9999,0.8,-9999
,10.10.2008,0.764554858,1.48,-9999,1.5,-9999
,11.10.2008,0.622970625,1.41,-9999,1.4,-9999
,12.10.2008,0.566336932,1.38,-9999,1.4,-9999
,13.10.2008,0.509703239,1.21,-9999,1.2,-9999
,14.10.2008,0.509703239,1.11,-9999,1.1,-9999
,15.10.2008,0.622970625,1.16,-9999,1.1,-9999
,16.10.2008,0.991089631,1.68,-9999,1.666666667,-9999
,17.10.2008,1.24594125,2.46,-9999,2.433333333,-9999
,18.10.2008,1.104357017,3.04,-9999,3,-9999
,19.10.2008,0.962772784,3.36,-9999,3.35,-9999
,20.10.2008,0.877822245,3.66,-9999,3.7,-9999
,21.10.2008,0.821188551,3.85,-9999,3.9,-9999
,22.10.2008,0.906139091,3.75,-9999,3.7,-9999
,23.10.2008,0.934455938,3.94,-9999,3.9,-9999
,24.10.2008,1.047723324,4.36,-9999,4.4,-9999
,25.10.2008,1.160990711,4.64,-9999,4.6,-9999
,26.10.2008,1.302574944,5.09,-9999,5.1,-9999
,27.10.2008,1.160990711,5.53,-9999,5.55,-9999
,28.10.2008,1.076040171,5.85,-9999,5.9,-9999
,29.10.2008,1.047723324,5.81,-9999,5.8,-9999
,30.10.2008,1.019406478,5.75,-9999,5.8,-9999
