@T,Climate,,,
name,wind,,,
desc,wind speed,,,

missing_val,-9999,
date_start,01.01.1979
date_end,31.12.2000
date_format,dd.MM.yyyy

tres,d,,,
unit,m/s,,,
,,,,
@H,date,wind[0],wind[1],wind[2]
name,,Artern,Erfurt,Schmuecke
ID,,198,1270,4501
elevation,,164,316,937
,23.07.1979,3.22,2.47,3.22
,24.07.1979,2.91,2.06,3.53
,25.07.1979,0.99,1.31,2.91
,26.07.1979,1.8,2.06,2.47
,27.07.1979,1.43,1.43,1.43
,28.07.1979,0.53,0.79,0.7
,29.07.1979,1.2,1.67,1.93
,30.07.1979,3.7,3.53,3.86
,31.07.1979,2.47,2.19,2.33
,01.08.1979,3.22,3.06,4.54
,02.08.1979,3.22,3.53,6.02
,03.08.1979,1.67,2.06,1.43
,04.08.1979,1.93,1.93,1.43
,05.08.1979,0.79,1.09,0.7
,06.08.1979,0.7,1.43,0.79
,07.08.1979,0.7,0.7,0.7
,08.08.1979,1.31,2.62,2.47
,09.08.1979,1.67,2.06,2.47
,10.08.1979,3.22,3.22,5.45
,11.08.1979,1.93,1.43,1.55
,12.08.1979,0.99,1.09,1.2
,13.08.1979,0.7,0.79,1.31
,14.08.1979,1.09,2.19,3.22
,15.08.1979,1.2,2.19,2.47
,16.08.1979,1.55,2.19,1.8
,17.08.1979,0.79,1.55,1.43
,18.08.1979,1.31,1.09,2.62
,19.08.1979,0.79,1.31,1.2
,20.08.1979,2.06,2.47,1.2
,21.08.1979,1.55,2.19,2.91
,22.08.1979,1.09,1.2,2.06
,23.08.1979,0.53,1.31,1.93
,24.08.1979,1.67,2.91,2.47
,25.08.1979,1.55,2.19,3.37
,26.08.1979,2.06,2.06,2.06
,27.08.1979,4.03,3.37,2.91
,28.08.1979,4.03,3.37,1.93
,29.08.1979,2.19,1.67,1.31
,30.08.1979,0.79,1.43,1.09
,31.08.1979,0.7,1.43,1.8
,01.09.1979,0.53,1.31,1.2
,02.09.1979,2.06,2.19,2.47
,03.09.1979,2.33,2.47,4.2
,04.09.1979,2.91,2.91,4.37
,05.09.1979,0.79,0.79,0.7
,06.09.1979,1.2,1.2,1.67
,07.09.1979,0.53,1.31,0.99
,08.09.1979,0.7,1.2,1.43
,09.09.1979,0.79,0.99,1.2
,10.09.1979,0.53,1.09,0.99
,11.09.1979,1.67,2.19,2.76
,12.09.1979,0.89,0.99,1.67
,13.09.1979,1.8,2.06,4.03
,14.09.1979,2.91,1.93,1.93
,15.09.1979,4.2,3.37,3.86
,16.09.1979,1.2,1.67,1.8
,17.09.1979,3.06,2.76,6.02
,18.09.1979,5.64,4.54,7.21
,19.09.1979,4.2,2.91,4.03
,20.09.1979,1.67,2.06,2.47
,21.09.1979,1.93,2.06,1.43
,22.09.1979,2.47,2.91,6.02
,23.09.1979,1.43,1.67,5.64
,24.09.1979,1.43,1.93,3.22
,25.09.1979,0.7,1.31,1.43
,26.09.1979,2.47,2.19,3.22
,27.09.1979,2.06,1.67,2.06
,28.09.1979,1.93,2.19,3.53
,29.09.1979,0.89,1.67,4.03
,30.09.1979,1.09,1.55,2.76
,01.10.1979,1.93,1.67,2.76
,02.10.1979,3.22,2.47,2.06
,03.10.1979,1.67,1.55,2.47
,04.10.1979,0.53,0.7,3.53
,05.10.1979,2.47,2.47,1.43
,06.10.1979,3.22,2.91,2.76
,07.10.1979,1.43,1.31,3.86
,08.10.1979,0.99,1.09,2.06
,09.10.1979,0.7,1.55,2.19
,10.10.1979,0.99,2.06,2.47
,11.10.1979,0.89,1.09,1.67
,12.10.1979,1.67,2.19,2.62
,13.10.1979,0.89,0.89,1.43
,14.10.1979,1.31,1.09,3.53
,15.10.1979,2.06,1.8,3.22
,16.10.1979,1.43,1.09,2.47
,17.10.1979,0.99,1.93,1.2
,18.10.1979,3.86,4.03,3.86
,19.10.1979,3.7,2.91,3.22
,20.10.1979,2.19,1.67,2.76
,21.10.1979,1.31,1.2,1.93
,22.10.1979,2.76,2.47,5.83
,23.10.1979,3.37,3.22,6.61
,24.10.1979,2.47,3.06,2.76
,25.10.1979,2.91,3.86,4.2
,26.10.1979,5.64,4.37,6.41
,27.10.1979,4.54,3.53,4.54
,28.10.1979,2.91,2.47,1.67
,29.10.1979,1.09,0.7,2.47
,30.10.1979,0.15,0.7,1.31
,31.10.1979,0.53,1.67,2.47
,01.11.1979,1.8,2.06,3.06
,02.11.1979,2.19,2.62,1.55
,03.11.1979,0.89,1.43,1.8
,04.11.1979,2.91,4.03,8.48
,05.11.1979,4.2,5.08,7.21
,06.11.1979,4.9,4.9,7.21
,07.11.1979,4.2,3.7,4.9
,08.11.1979,5.08,4.54,6.41
,09.11.1979,2.62,3.7,4.72
,10.11.1979,2.33,1.93,2.76
,11.11.1979,2.91,2.47,2.62
,12.11.1979,2.47,4.03,5.64
,13.11.1979,1.43,1.67,1.55
,14.11.1979,0.53,1.09,3.06
,15.11.1979,1.2,1.93,2.91
,16.11.1979,2.47,2.47,3.7
,17.11.1979,0.38,1.31,1.43
,18.11.1979,0.53,0.53,4.03
,19.11.1979,0.7,2.19,1.43
,20.11.1979,2.91,2.62,2.76
,21.11.1979,1.8,1.93,2.19
,22.11.1979,0.79,0.89,1.31
,23.11.1979,2.06,1.67,3.22
,24.11.1979,2.33,2.06,3.86
,25.11.1979,2.33,1.67,3.22
,26.11.1979,4.9,4.37,9.36
,27.11.1979,2.76,2.19,2.76
,28.11.1979,2.06,2.62,5.45
,29.11.1979,2.91,1.93,5.83
,30.11.1979,3.86,2.62,6.21
,01.12.1979,4.72,4.37,7.42
,02.12.1979,4.03,3.06,7.21
,03.12.1979,3.37,3.37,4.9
,04.12.1979,2.91,2.62,5.08
,05.12.1979,4.72,5.26,6.02
,06.12.1979,1.43,1.67,3.86
,07.12.1979,3.22,2.76,5.64
,08.12.1979,4.03,3.06,4.2
,09.12.1979,2.91,3.06,7.21
,10.12.1979,5.26,6.02,10.51
,11.12.1979,5.08,4.9,8.7
,12.12.1979,3.86,2.47,3.22
,13.12.1979,1.43,2.76,3.86
,14.12.1979,2.76,3.53,5.08
,15.12.1979,4.72,5.64,8.92
,16.12.1979,6.02,6.41,8.92
,17.12.1979,4.72,5.45,8.48
,18.12.1979,6.41,6.41,6.41
,19.12.1979,0.7,1.09,2.62
,20.12.1979,1.67,2.06,3.22
,21.12.1979,3.06,2.47,2.62
,22.12.1979,5.26,4.37,4.9
,23.12.1979,2.33,2.06,7.01
,24.12.1979,2.06,1.67,5.08
,25.12.1979,1.8,2.47,5.08
,26.12.1979,0.79,0.99,1.43
,27.12.1979,0.89,2.91,3.86
,28.12.1979,2.91,5.45,7.21
,29.12.1979,4.03,5.26,6.41
,30.12.1979,3.7,3.86,6.02
,31.12.1979,3.22,3.53,3.53
,01.01.1980,3.7,3.7,3.86
,02.01.1980,3.53,3.37,2.47
,03.01.1980,1.67,2.47,1.55
,04.01.1980,0.99,3.53,5.83
,05.01.1980,1.09,1.67,4.9
,06.01.1980,0.89,1.8,4.37
,07.01.1980,0.53,1.09,0.53
,08.01.1980,1.93,1.55,1.09
,09.01.1980,2.06,1.43,1.2
,10.01.1980,3.06,2.76,3.22
,11.01.1980,3.53,2.76,2.91
,12.01.1980,4.03,3.7,5.83
,13.01.1980,1.43,1.09,4.03
,14.01.1980,1.2,0.99,2.19
,15.01.1980,0.7,0.53,2.91
,16.01.1980,1.8,1.09,6.41
,17.01.1980,2.19,2.76,3.7
,18.01.1980,1.31,0.99,1.31
,19.01.1980,0.15,0.15,0.99
,20.01.1980,0.53,0.53,3.22
,21.01.1980,0.89,2.06,2.62
,22.01.1980,2.91,4.9,6.81
,23.01.1980,1.67,3.22,5.26
,24.01.1980,0.45,0.53,1.2
,25.01.1980,1.8,2.33,3.22
,26.01.1980,3.7,3.7,2.91
,27.01.1980,3.06,3.86,3.06
,28.01.1980,0.53,0.79,2.06
,29.01.1980,1.09,0.89,2.47
,30.01.1980,4.72,4.03,6.41
,31.01.1980,3.37,5.08,10.74
,01.02.1980,6.41,4.9,7.84
,02.02.1980,2.76,4.03,7.01
,03.02.1980,4.2,3.7,8.27
,04.02.1980,2.62,4.2,5.08
,05.02.1980,2.47,4.03,6.61
,06.02.1980,0.99,3.53,5.45
,07.02.1980,1.31,2.33,4.54
,08.02.1980,2.47,2.62,6.02
,09.02.1980,0.53,1.31,2.91
,10.02.1980,2.06,1.8,1.8
,11.02.1980,2.47,2.19,2.06
,12.02.1980,1.8,2.06,1.93
,13.02.1980,0.99,0.7,0.7
,14.02.1980,0.53,0.53,0.38
,15.02.1980,0.45,1.09,3.53
,16.02.1980,1.67,1.93,2.19
,17.02.1980,2.06,2.33,1.55
,18.02.1980,1.55,1.67,1.8
,19.02.1980,1.8,1.93,1.67
,20.02.1980,1.43,2.19,2.19
,21.02.1980,1.43,2.06,1.8
,22.02.1980,0.79,1.09,2.06
,23.02.1980,0.1,1.8,1.31
,24.02.1980,1.67,1.09,1.09
,25.02.1980,0.7,0.99,1.67
,26.02.1980,0.7,0.99,2.91
,27.02.1980,1.55,1.09,2.76
,28.02.1980,1.09,1.43,2.76
,29.02.1980,3.7,4.03,3.37
,01.03.1980,5.26,4.03,4.03
,02.03.1980,5.08,3.86,4.03
,03.03.1980,5.45,4.37,3.7
,04.03.1980,2.76,3.37,3.7
,05.03.1980,1.55,1.67,3.06
,06.03.1980,2.76,4.37,6.41
,07.03.1980,2.91,4.37,7.21
,08.03.1980,0.79,1.55,1.31
,09.03.1980,2.91,2.91,2.47
,10.03.1980,0.79,1.09,1.2
,11.03.1980,2.33,1.8,1.2
,12.03.1980,1.31,1.43,2.47
,13.03.1980,3.7,2.91,3.7
,14.03.1980,4.9,2.47,3.22
,15.03.1980,4.72,3.86,3.7
,16.03.1980,3.86,2.62,2.91
,17.03.1980,2.19,2.06,1.2
,18.03.1980,5.45,3.37,2.76
,19.03.1980,7.42,4.9,4.72
,20.03.1980,6.61,5.45,6.02
,21.03.1980,3.86,3.7,3.06
,22.03.1980,2.06,2.19,3.37
,23.03.1980,3.7,2.33,4.54
,24.03.1980,3.7,1.8,2.06
,25.03.1980,1.67,2.06,1.09
,26.03.1980,0.89,1.43,2.47
,27.03.1980,1.67,3.37,5.26
,28.03.1980,4.2,4.03,7.63
,29.03.1980,4.9,5.08,9.36
,30.03.1980,5.45,4.54,5.45
,31.03.1980,2.19,1.93,2.76
,01.04.1980,1.43,2.33,3.86
,02.04.1980,7.21,5.08,9.59
,03.04.1980,6.41,6.02,6.21
,04.04.1980,3.37,4.54,3.53
,05.04.1980,3.86,2.91,3.22
,06.04.1980,2.19,2.33,2.91
,07.04.1980,1.55,0.79,2.33
,08.04.1980,4.72,4.54,4.37
,09.04.1980,4.2,4.2,3.7
,10.04.1980,2.47,3.22,2.76
,11.04.1980,2.62,1.43,1.43
,12.04.1980,1.09,1.67,1.55
,13.04.1980,1.43,1.31,2.33
,14.04.1980,0.99,1.09,0.99
,15.04.1980,1.43,1.67,1.8
,16.04.1980,2.47,1.67,1.67
,17.04.1980,2.06,1.43,1.31
,18.04.1980,4.72,3.86,3.37
,19.04.1980,8.05,6.41,8.48
,20.04.1980,4.03,3.7,5.64
,21.04.1980,1.67,1.43,1.2
,22.04.1980,2.06,2.06,1.31
,23.04.1980,6.61,4.72,5.08
,24.04.1980,6.21,6.02,4.9
,25.04.1980,1.31,1.2,1.93
,26.04.1980,1.93,1.67,0.79
,27.04.1980,2.33,2.19,1.43
,28.04.1980,3.06,2.33,2.91
,29.04.1980,0.7,0.7,1.2
,30.04.1980,2.62,2.47,2.47
,01.05.1980,6.02,4.03,4.37
,02.05.1980,4.9,4.03,3.7
,03.05.1980,5.64,4.2,5.26
,04.05.1980,4.03,3.53,4.2
,05.05.1980,2.91,3.37,3.7
,06.05.1980,2.19,1.67,2.91
,07.05.1980,1.8,1.43,2.91
,08.05.1980,1.09,1.43,1.55
,09.05.1980,3.53,2.91,2.62
,10.05.1980,2.47,2.19,4.2
,11.05.1980,3.06,2.62,4.9
,12.05.1980,4.03,3.53,4.9
,13.05.1980,5.83,4.72,7.01
,14.05.1980,5.26,4.72,6.81
,15.05.1980,3.37,3.86,4.9
,16.05.1980,1.93,1.93,3.22
,17.05.1980,1.93,1.55,1.8
,18.05.1980,2.47,2.33,2.62
,19.05.1980,1.2,1.09,2.19
,20.05.1980,1.67,1.43,2.19
,21.05.1980,2.91,2.47,2.62
,22.05.1980,3.86,3.7,4.9
,23.05.1980,1.2,1.43,2.91
,24.05.1980,2.19,2.47,2.33
,25.05.1980,2.19,2.19,2.47
,26.05.1980,1.2,1.2,1.67
,27.05.1980,0.79,1.55,1.93
,28.05.1980,1.2,1.31,1.43
,29.05.1980,1.31,1.43,1.67
,30.05.1980,3.22,2.62,4.2
,31.05.1980,1.09,0.99,1.43
,01.06.1980,1.67,2.06,2.47
,02.06.1980,4.9,4.54,5.08
,03.06.1980,4.37,3.53,5.26
,04.06.1980,2.06,1.8,3.22
,05.06.1980,1.93,1.55,2.91
,06.06.1980,1.67,1.55,3.7
,07.06.1980,1.67,1.67,1.43
,08.06.1980,1.09,0.89,1.31
,09.06.1980,2.76,1.43,3.7
,10.06.1980,1.43,1.2,1.55
,11.06.1980,2.06,2.33,5.08
,12.06.1980,1.2,0.89,2.91
,13.06.1980,1.43,0.99,2.91
,14.06.1980,2.06,1.31,3.06
,15.06.1980,5.08,3.22,5.45
,16.06.1980,3.06,2.47,5.45
,17.06.1980,1.55,2.19,4.72
,18.06.1980,2.62,1.93,4.54
,19.06.1980,3.06,2.33,5.83
,20.06.1980,4.03,3.86,6.41
,21.06.1980,2.76,2.06,5.08
,22.06.1980,2.06,1.43,3.7
,23.06.1980,2.19,2.47,5.08
,24.06.1980,2.47,2.47,5.45
,25.06.1980,3.22,3.37,5.26
,26.06.1980,1.2,1.43,3.22
,27.06.1980,2.76,2.62,3.86
,28.06.1980,2.91,2.76,6.61
,29.06.1980,2.62,2.91,5.08
,30.06.1980,3.06,2.76,5.26
,01.07.1980,1.55,2.62,6.81
,02.07.1980,1.55,2.19,5.26
,03.07.1980,3.7,3.7,4.72
,04.07.1980,1.67,1.43,4.03
,05.07.1980,1.2,1.09,3.7
,06.07.1980,1.09,0.89,2.47
,07.07.1980,1.67,2.91,5.64
,08.07.1980,2.33,2.19,7.01
,09.07.1980,2.62,2.06,6.61
,10.07.1980,3.22,2.76,6.21
,11.07.1980,1.8,2.19,3.86
,12.07.1980,2.47,2.06,4.03
,13.07.1980,2.76,2.33,5.08
,14.07.1980,1.55,1.8,6.41
,15.07.1980,1.67,1.43,4.03
,16.07.1980,3.7,2.76,4.9
,17.07.1980,3.22,2.76,4.2
,18.07.1980,3.86,3.53,6.81
,19.07.1980,3.37,2.76,7.42
,20.07.1980,3.06,2.91,8.7
,21.07.1980,4.03,4.03,7.42
,22.07.1980,3.7,3.37,4.2
,23.07.1980,0.7,1.09,1.93
,24.07.1980,1.43,1.67,2.33
,25.07.1980,0.79,1.43,3.53
,26.07.1980,1.67,1.93,3.86
,27.07.1980,2.19,1.31,1.67
,28.07.1980,1.93,1.67,2.76
,29.07.1980,2.33,2.19,4.2
,30.07.1980,1.2,1.67,4.37
,31.07.1980,2.19,1.55,1.67
,01.08.1980,0.7,0.99,1.2
,02.08.1980,0.7,0.7,3.22
,03.08.1980,1.31,1.67,3.7
,04.08.1980,2.19,1.31,3.86
,05.08.1980,3.86,2.62,6.61
,06.08.1980,4.03,2.62,5.26
,07.08.1980,2.06,1.31,3.37
,08.08.1980,1.93,1.43,4.03
,09.08.1980,2.62,1.93,2.19
,10.08.1980,0.79,0.7,1.43
,11.08.1980,0.89,0.89,2.33
,12.08.1980,2.33,2.62,5.64
,13.08.1980,2.76,1.8,4.03
,14.08.1980,0.79,1.43,2.33
,15.08.1980,2.47,1.67,3.53
,16.08.1980,2.06,1.43,1.8
,17.08.1980,0.99,1.09,1.93
,18.08.1980,0.79,0.79,1.31
,19.08.1980,1.2,1.55,1.93
,20.08.1980,4.03,3.22,6.02
,21.08.1980,7.42,5.26,8.7
,22.08.1980,6.02,4.2,5.83
,23.08.1980,4.9,3.86,5.45
,24.08.1980,4.2,3.22,4.72
,25.08.1980,2.76,2.06,2.76
,26.08.1980,1.09,1.09,2.19
,27.08.1980,1.43,1.09,1.67
,28.08.1980,1.09,1.43,1.8
,29.08.1980,2.47,2.19,5.08
,30.08.1980,3.86,3.86,8.92
,31.08.1980,2.91,2.91,6.61
,01.09.1980,4.03,3.7,4.37
,02.09.1980,0.79,0.7,2.06
,03.09.1980,1.09,1.93,4.9
,04.09.1980,1.67,2.06,4.54
,05.09.1980,1.43,1.55,4.2
,06.09.1980,2.91,2.06,5.26
,07.09.1980,1.09,1.31,1.43
,08.09.1980,1.2,2.47,4.54
,09.09.1980,2.06,2.19,4.9
,10.09.1980,3.22,3.22,6.41
,11.09.1980,4.54,3.7,8.27
,12.09.1980,3.86,2.91,7.21
,13.09.1980,4.54,3.86,6.21
,14.09.1980,6.02,3.7,6.21
,15.09.1980,2.76,2.06,5.26
,16.09.1980,0.99,0.99,2.19
,17.09.1980,1.67,2.19,5.45
,18.09.1980,1.09,0.89,2.62
,19.09.1980,1.09,0.99,3.22
,20.09.1980,0.89,1.2,1.43
,21.09.1980,0.7,1.09,1.09
,22.09.1980,0.53,1.43,1.8
,23.09.1980,0.89,1.93,2.62
,24.09.1980,0.53,0.45,1.31
,25.09.1980,0.79,0.99,1.8
,26.09.1980,0.53,0.7,2.62
,27.09.1980,0.45,0.89,2.06
,28.09.1980,1.2,0.7,1.43
,29.09.1980,1.2,1.93,3.53
,30.09.1980,3.22,2.47,4.2
,01.10.1980,2.19,1.67,4.03
,02.10.1980,3.86,2.76,4.54
,03.10.1980,1.43,1.31,2.47
,04.10.1980,0.89,1.43,5.08
,05.10.1980,2.76,2.19,2.62
,06.10.1980,3.53,2.91,6.81
,07.10.1980,5.08,5.08,11.45
,08.10.1980,5.08,4.03,9.14
,09.10.1980,1.8,2.76,5.08
,10.10.1980,1.8,2.06,4.03
,11.10.1980,1.67,2.19,4.72
,12.10.1980,3.37,3.22,5.45
,13.10.1980,4.2,4.03,5.64
,14.10.1980,2.33,2.47,2.33
,15.10.1980,2.06,1.43,3.7
,16.10.1980,0.89,1.67,3.22
,17.10.1980,1.31,1.55,4.54
,18.10.1980,2.47,1.67,4.72
,19.10.1980,3.06,2.19,3.86
,20.10.1980,3.7,2.47,3.22
,21.10.1980,0.99,2.19,5.08
,22.10.1980,0.99,1.8,4.72
,23.10.1980,1.93,2.19,6.41
,24.10.1980,4.2,4.03,9.36
,25.10.1980,3.22,2.47,4.9
,26.10.1980,1.43,1.67,3.53
,27.10.1980,2.06,3.22,6.81
,28.10.1980,4.37,3.22,6.41
,29.10.1980,5.83,4.9,8.48
,30.10.1980,4.9,3.86,5.64
,31.10.1980,2.33,2.76,3.06
,01.11.1980,3.37,4.2,6.81
,02.11.1980,5.64,4.37,6.02
,03.11.1980,5.83,4.37,5.64
