@T,Parameter,,,,,,,,,,,,,
descr,hrus.csv,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,slopelength,sedpool
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,9999,999999,9999999,10000,9999999999,3,90,360,999999,9999,9999,9999,9999,9999
unit,n/a,m,m,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,m,t
,154,4418862,5645584,298,901250,3,0.6,197.6659,0,85,7,7,137.133,0
,155,4410237,5645921,300,28125,2,1.1,62.9734,0,52,1,17,44.6076,0
,156,4410312,5646029,297,21875,2,2,117.7905,0,52,3,18,10,0
,157,4411025,5646091,282,70000,3,0.6,116.0147,0,93,3,7,60.355,0
,158,4414575,5645577,277,54375,3,0.1,-1,0,73,7,18,25,0
,159,4414650,5645831,277,76875,2,0.1,189.2016,0,93,7,18,20.3488,0
,160,4415700,5645783,279,76250,3,0.7,209.5308,0,73,7,8,122.75,0
,161,4410500,5645960,294,46250,2,1.4,70.8033,0,52,3,8,46.1292,0
,162,4411250,5645905,282,33750,3,0.5,122.1967,0,93,3,9,10,0
,163,4418300,5646066,296,162500,2,0.9,212.7285,0,85,7,7,126.801,0
,164,4422962,5645888,300,20000,2,1.4,189.6893,0,84,7,7,10,0
,165,4422787,5645674,296,90000,3,1,191.5405,0,71,7,17,50.9314,0
,166,4411550,5645885,280,86875,3,0.6,120.3033,0,93,4,19,47.3003,0
,167,4412487,5646104,279,56875,3,0.8,157.5778,0,93,3,17,29.1477,0
,168,4414412,5645819,277,93125,3,0.1,156.8163,0,93,7,18,42.0876,0
,169,4417212,5645529,287,59375,2,0.7,209.1001,0,85,7,7,46.7502,0
,170,4412200,5645589,277,131250,3,0.1,298.5056,0,93,3,19,26.9269,0
,171,4412500,5646041,277,180625,3,0.1,67.0518,0,93,3,19,54.4346,0
,172,4413850,5645904,277,52500,3,0.1,-1,0,73,7,8,18.7218,0
,173,4414087,5645904,277,40625,3,0.1,201.754,0,73,7,18,23.5711,0
,174,4415525,5645838,278,49375,3,0.6,157.1067,0,53,7,8,40.7829,0
,175,4413150,5645890,277,72500,2,0.1,-1,0,93,3,19,18.8202,0
,176,4413525,5645890,277,76875,2,0.1,-1,0,85,7,18,17.1748,0
,177,4413975,5645564,277,233125,3,0.1,115.1306,0,73,7,18,40.2723,0
,178,4416925,5645990,287,114375,3,0.6,200.1649,0,85,7,7,45.6657,0
,179,4422025,5645484,296,532500,3,0.7,153.3916,0,84,7,17,146.951,0
,180,4415200,5645514,277,185000,3,0.1,248.9787,0,73,7,18,50.6544,0
