@T,E2
descr,observed soil water content at probe E2 depths 30cm 40cm 50cm 60cm 70cm 80cm 90cm 120cm 150cm 170cm
unit,dimensionless
  
missing_val,-9999
date_start,01.08.2002
date_end,01.10.2003
date_format,dd.MM.yyyy
  
@H,date,swc[0],swc[1],swc[2],swc[3],swc[4],swc[5],swc[6],swc[7],swc[8],swc[9]
nameDrake  
ID1  
elevation1572  
x512701  
y4495474  
,08.03.2003,0.16705,0.1955875,0.182341667,0.148179167,0.1399,0.15115,0.118775,0.104,0.116295833,0.131175
,09.03.2003,0.169045833,0.197779167,0.184245833,0.149508333,0.140891667,0.151979167,0.1192375,0.104066667,0.1163,0.131133333
,10.03.2003,0.170183333,0.19885,0.185329167,0.150441667,0.141733333,0.152779167,0.119754167,0.1042625,0.116333333,0.1311375
,11.03.2003,0.173195833,0.2011375,0.186958333,0.1515,0.1425375,0.153516667,-9999,0.104475,0.116441667,0.131191667
,12.03.2003,0.176333333,0.2038125,0.1890875,0.152908333,0.1436125,0.154495833,0.120929167,0.104704167,0.1165625,0.131216667
,13.03.2003,0.179275,0.206454167,0.191329167,0.154495833,0.14485,0.155675,0.121654167,0.1049875,0.116670833,0.131333333
,14.03.2003,0.1822625,0.209108333,0.193566667,0.156091667,0.146158333,0.156941667,0.1225,0.105320833,0.1168625,0.131466667
,15.03.2003,0.185929167,0.212045833,0.1959625,0.1577625,0.1475,0.158279167,0.1233875,0.105708333,0.1171,0.13165
,16.03.2003,0.18775,0.214316667,0.198270833,0.159591667,0.149058333,0.159775,0.1243625,0.10615,0.117391667,0.131841667
,17.03.2003,0.188079167,0.215020833,0.199375,0.160720833,0.15025,0.161070833,0.125283333,0.106654167,0.117729167,0.132066667
,18.03.2003,0.183695833,0.212695833,0.198508333,0.160820833,0.150816667,0.1619125,0.126025,0.107104167,0.118075,0.132320833
,19.03.2003,0.178204167,0.208170833,0.195354167,0.159133333,0.15005,0.161741667,0.126229167,0.107516667,0.118433333,0.1326
